source_area,path,status,evidence_summary,risk_classification,p36_action
"Prior red-team verdict","_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_EXTERNAL_REDTEAM_REPORT.md","present","Prior pack is planning-grade and explicitly not runtime-complete.","blocking_if_unrepaired","Do not claim runtime-complete; create physical runtime proof only."
"Prior controlled gap ledger","_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_CONTROLLED_GAP_LEDGER.csv","present","GAP-P11-001 says canonical inventory and cost reconciliation runner is specified but not implemented; GAP-P11-002 says FEFO/container parity requires command work.","P0/P1 authority path","Implemented P36 service, schema anchors, projection guard and tests; live handlers remain P37/P39 controlled gap."
"Final build plan","_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_FINAL_MASTER_BUILD_PLAN.md","present","Wave 5 calls for quality holds, inventory ledger, genealogy, MES readiness and execution gates.","required_sequence","P36 consumes P33/P34/P35 outputs and leaves P37 handler wiring condition."
"Runtime authority map","docs/backend/RUNTIME_AUTHORITY_MAP.md","present","Inventory/WMS is mostly PG schema/generic and lacks complete dedicated inventory command service; direct write risk remains.","P0","P36 adds command packet, posting packet, projection guard and Generic CRUD deny extensions."
"Domain command spec","docs/backend/DOMAIN_COMMAND_SPEC.md","present","IssueMaterialToWorkOrder, CompleteOperation, PutawayInventory, SplitLot, MergeLot, ProduceOutputLotSerial and CloseFinancePeriod require idempotency, open period, ledger writes and reconciliation evidence.","P0","P36 service models issue idempotency/FEFO/hold/period gates plus completion WIP/cost and period close reconciliation gate."
"Postgres migration and sync spec","docs/backend/POSTGRES_MIGRATION_AND_SYNC_SPEC.md","present","Inventory ledger reconciliation and lot/serial genealogy parity are required for cutover/release.","P1","P36 adds reconciliation run/discrepancy tables and service mismatch detection."
"Table registry","mom/contracts/table-registry.json","present","Inventory tables exist in generated runtime registry but registry is not business authority.","controlled_gap","Do not edit generated registry manually in P36; update governed entity registry and Generic CRUD hard stop."
"Legacy inventory schema","mom/database/migrations/009_inventory.sql","present","`inventory_transactions`, `lot_master`, `serial_master`, warehouses and locations exist.","partial_authority","P36 uses existing ledgers as targets instead of replacing them."
"Canonical inventory schema","mom/database/migrations/077_canonical_inventory_cost_traceability.sql","present","`lot`, `serial`, `container`, `inventory_ledger`, `inventory_balance_snapshot`, `location_balance`, `wip_ledger`, `cost_ledger` exist.","schema_without_commands","P36 adds command/posting/reconciliation/recall anchors and projection guard."
"Stock balance projection","mom/database/migrations/084_execution_quality_projection.sql","present","`stock_balances` exists with qty columns and row-version trigger; not protected as projection-only before P36.","P0 bypass","P36 migration adds projection mutation trigger for `stock_balances`."
"Genealogy graph service","mom/api/services/Traceability/GenealogyGraphService.php","present","Canonical genealogy edge fact service exists with scope, replay, cycle checks and change authority gate.","partial_runtime","P36 recall export consumes genealogy edges read-only; live recall command remains P37/P38."
"Quality hold service","mom/api/services/CanonicalQualityCaseAuthorityService.php","present","P33 service evaluates active canonical quality holds by subject.","required_dependency","P36 issue gate calls hold gate for lot before posting."
"Readiness service","mom/api/services/ResourceReadinessService.php","present","P34 service blocks material issue/start on held material lots and readiness failures.","required_dependency","P36 complements readiness with FEFO/idempotency/ledger posting packet."
"Tooling/gage service","mom/api/services/ToolingGageAuthorityService.php","present","P35 produces breakage/OOT scopes but leaves inventory/WIP/cost effects to P36.","required_dependency","P36 creates ledger packet path for downstream effects; live persistence remains P37."
"Generic CRUD controller","mom/api/controllers/GenericCrudController.php","present","Governed inventory tables were already hard-stopped; P36-specific tables were not listed before this prompt.","P0 bypass_mitigation","Added P36 command/posting/reconciliation/period/recall tables and cost/copq ledger to hard-stop list."
"Runtime proof matrix","_reports/agent-audits/mda-v3-runtime-upgrade-2026-05-29/MDA_V3_RUNTIME_PROOF_MATRIX.csv","present","ROOT-INV was maturity 3 quality-hold gate partial before P36.","evidence_gap","Updated ROOT-INV to maturity 4 ledger_authority_gate_partial and related WO/MES/QUAL rows."
"P35 handoff","_reports/agent-audits/mda-v3-runtime-upgrade-2026-05-29/P35_HANDOFF_PACKET.md","present","P36 must consume P33/P34/P35 hold and containment outputs; tooling/gage effects were not posted in P35.","sequential_dependency","P36 runs after P35 and does not modify UOM work."
