evidence_id,area,path,status,key_finding,impact_for_p38
P38-SRC-001,red_team,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_EXTERNAL_REDTEAM_REPORT.md,verified,"Simulation depth is strong at design level but needs automated DSL.","P38 must turn scenario rows into executable pass/fail evidence."
P38-SRC-002,gap_ledger,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_CONTROLLED_GAP_LEDGER.csv,verified,"GAP-P19-001 and GAP-P19-002 identify missing scenario DSL and dashboard export.","P38 implements a static contract runner and dashboard payload."
P38-SRC-003,build_plan,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_FINAL_MASTER_BUILD_PLAN.md,verified,"Final readiness requires runtime proof and executable scenario evidence.","P38 must not rely on narrative-only simulation."
P38-SRC-004,scenario_library,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_SIMULATION_MASTER_LIBRARY.csv,verified,"Master simulation library has 200 rows from SIMLIB-001 to SIMLIB-200.","P38 runner must execute declared count 200 with pass/fail rows."
P38-SRC-005,dashboard_spec,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_TEST_ACCEPTANCE_DASHBOARD_SPEC.md,verified,"Required widgets include total executed, failed blockers, gaps, fallback reads, drift counts, gate failures, outbox lag and audit/e-sign failures.","P38 dashboard payload includes executable counts and marks live telemetry widgets as requirements."
P38-SRC-006,blocker_register,_reports/agent-audits/mda-v3-runtime-upgrade-2026-05-29/MDA_V3_P0_P1_BLOCKER_REGISTER.csv,modified,"P23-P1-047 and P23-P1-048 were open for P38; P23-P1-049 remains open for real command-stack execution.","P38 partially repairs DSL/dashboard but keeps runtime command driver as blocker."
P38-SRC-007,scenario_registry_service,mom/api/services/ScenarioRegistryService.php,verified,"Existing service validates deployment scenario registry but does not execute MDA master scenario library.","P38 adds a separate MDA runner instead of overloading RACI scenario registry behavior."
P38-SRC-008,p37_handoff,_reports/agent-audits/mda-v3-runtime-upgrade-2026-05-29/P37_HANDOFF_PACKET.md,verified,"P37 unlocked P38 and required scenario DSL/dashboard proof while keeping PostgreSQL cutover unclaimed.","P38 consumes P37 boundary and does not flip DataLayer mode."
P38-SRC-009,runtime_authority,docs/backend/RUNTIME_AUTHORITY_MAP.md,verified,"Runtime remains mixed/JSON primary for several domains and command authority is incomplete.","P38 uses static contract runner only and blocks final runtime claim."
P38-SRC-010,domain_command,docs/backend/DOMAIN_COMMAND_SPEC.md,verified,"Governed commands require transaction, idempotency, audit, evidence and outbox.","P38 does not execute runtime mutations; runtime_command driver remains P39/P41 blocker."
P38-SRC-011,proof_matrix,_reports/agent-audits/mda-v3-runtime-upgrade-2026-05-29/MDA_V3_RUNTIME_PROOF_MATRIX.csv,modified,"ROOT-INT updated to scenario_runner_dashboard_partial.","P39 must add live dashboard and runtime command evidence."
