id,name,scope,artifact,owner,gate,test,stop_rule
S-V8-01,ISA-95 / IEC 62264,ERP-MOM-MES boundary,Domain ADR + root family map + interface catalog,Platform Lead,Block endpoint graduation if route grammar test fails,route_grammar_test_v8.py,BLOCK
S-V8-02,ISA-88,Batch recipe/procedure,Recipe state machine + batch record,Process Engineering,Block batch execution if recipe validation incomplete,recipe_validation_v8.py,BLOCK
S-V8-03,21 CFR Part 11,e-records / e-signatures,Signature meaning registry + audit chain + retention policy,Compliance Lead,Block regulated transition if e-sign chain incomplete,esign_chain_test_v8.py,BLOCK
S-V8-04,EU GMP Annex 11,Computerised systems,Validation plan + risk assessment + change control,Compliance Lead,Block production change if GxP review missing,annex11_change_control_v8.py,BLOCK
S-V8-05,GAMP 5 Second Edition,Validation methodology,GAMP categorization + leverage pack,Validation Lead,Block validation promotion if GAMP categorization missing,gamp_cat_test_v8.py,BLOCK
S-V8-06,ISA/IEC 62443,OT cybersecurity,Zone/conduit policy + SL evidence,OT Security Lead,Block OT write path if zone/conduit policy not approved,zone_policy_test_v8.py,BLOCK
S-V8-07,OWASP ASVS 5.0,App security,Per-tenant ASVS attestation,Security Lead,Block release if ASVS L2 baseline not met,asvs_baseline_test_v8.py,BLOCK
S-V8-08,OWASP API Top 10,API abuse,Per-route negative tests,Security Lead,Block API graduation if Top 10 negative tests fail,api_top10_test_v8.py,BLOCK
S-V8-09,OpenAPI 3.1.1,API contracts,Per-route OpenAPI spec,API Lead,Block API release if spec invalid,openapi-spec-validator,BLOCK
S-V8-10,RFC 9457,Problem details,Problem registry + middleware,API Lead,Block error response release if not RFC 9457,problem_detail_validate_v8.py,BLOCK
S-V8-11,OpenTelemetry,Observability,OTel SDK + resource attrs,SRE Lead,Block service release if OTel resource attributes missing,otel_attr_check_v8.py,BLOCK
S-V8-12,WCAG 2.2 AA,Accessibility,Axe-core + manual screen reader,Frontend Lead,Block UI release if axe-core serious violation,axe-core,BLOCK
S-V8-13,NIST AI RMF + EU AI Act,AI governance,Per-feature risk profile + model card,AI Lead,Block AI feature release if NIST AI RMF profile missing,ai_risk_profile_v8.py,BLOCK
S-V8-14,DORA / Accelerate,Delivery/reliability,DORA dashboard,SRE Lead,Block release schedule if DORA Elite tier failing,dora_metric_v8.py,WARN
S-V8-15,ISO/IEC 27001:2022,ISMS,ISMS evidence pack,Security Lead,Block customer onboarding if ISO 27001 control gaps,iso27001_check_v8.py,BLOCK
S-V8-16,ISO 14971:2019,Med Device risk,Risk file per ISO 14971,Quality Engineer,Block Med Device pack release if risk file incomplete,iso14971_risk_v8.py,BLOCK
S-V8-17,NIST SP 800-171 + CMMC 2.0,DoD CUI,CMMC evidence pack,Compliance Lead,Block CMMC tenant onboarding if evidence gaps,cmmc_check_v8.py,BLOCK
S-V8-18,FDA CSA 2022,Computer Software Assurance,Risk-tier validation evidence per function,Validation Lead,Block CSA-aligned validation if risk classification missing,csa_classification_v8.py,BLOCK
