code,name,domain,authority_class,current_maturity_baseline,target_wave,purpose,next_gates
QUO,Quotation,Commercial & Customer,authoritative root,1,W5,"convert customer demand into priced, approved commercial intent","pricing authority, customer terms, approval workflow, SO conversion evidence"
CPO,Customer Purchase Order,Commercial & Customer,authoritative root,1,W5,capture external customer commitment and reconcile to quotation/sales order,"PO validation, customer reference uniqueness, exception workflow"
SO,Sales Order,Commercial & Customer,authoritative root,1,W5,"authorized demand root driving planning, fulfillment and revenue evidence","order line authority, promise date, allocation, change history"
PO,Purchase Order,Procurement & Supplier Quality,authoritative root,1,W5,"supplier demand commitment, receiving and supplier quality linkage","supplier authorization, item revision, receipt, change and close control"
IREV,Item Revision,Product Engineering,authoritative root,1,W5,authoritative revision/effectivity model for production and quality records,"ECO linkage, effectivity, BOM/routing compatibility, release status"
ECO,Engineering Change Order,Product Engineering,authoritative root,1,W5,"controlled change authority over item, BOM, routing, drawing and quality plans","impact analysis, approval, effective date, implementation verification"
JO,Job Order,Shopfloor / MES Execution,authoritative root,1,W5,production intent and WIP authorization for making product,"SO/MRP linkage, item revision, routing, material availability, release approval"
WO,Work Order,Shopfloor / MES Execution,authoritative root,1,W5,operation-level work authorization and evidence capture,"operator/equipment eligibility, instruction version, completion evidence"
DISP,Dispatch Target / Dispatch Board,Planning & Scheduling,workspace projection + root,3,W0/W1,supervisor projection for prioritized work; no hidden mutation authority,"re-anchor links, no direct mutation, E2E, route WS attributes"
PREC,Purchase Receipt,Inventory & Supplier Quality,authoritative root,1,W5,receipt of supplier material with inspection and lot creation impact,"PO match, supplier lot, incoming inspection trigger, inventory transaction"
LOT,Lot,Traceability / Serialization,authoritative root,1,W7,"material/product lot genealogy, status and containment authority","lot status, genealogy edge, hold/release, split/merge audit"
INSP,Inspection,Quality / eQMS,authoritative root,1,W3/W4,inspection plan execution and measured quality evidence,"sampling plan, measurement units, disposition, NC trigger"
NQCASE,Nonconformance Case,Quality / eQMS,authoritative root,4,W0/W4,"contain, investigate, disposition and link quality escapes","read-only API stabilization, disposition command, CAPA link, e-sign boundary"
CAPA,Corrective / Preventive Action,Quality / eQMS,authoritative root,3,W0/W3,"root-cause, action, verification and effectiveness control","cause taxonomy, action owner, verification evidence, effectiveness timer"
BREL,Batch Release / Product Release,Traceability / Quality,authoritative root,1,W7,"release decision packet derived from genealogy, inspection, deviation and signoff evidence","release checklist, review by exception, e-sign, hold clearance"
CDOC,Controlled Document,Quality / eQMS,authoritative root,1,W3,controlled SOP/work instruction/document lifecycle,"version/effective date, training impact, approval, archive, read acknowledgement"
TRAIN,Training Record / Qualification,Workforce / Quality,workspace + authoritative record,2,W0/W3,prove operator qualification and skill eligibility for work,"training matrix, course/evidence, exam, expiration, dispatch eligibility"
MWO,Maintenance Work Order,Maintenance / EHS,authoritative root,1,W3,maintenance execution and asset readiness authority,"asset, PM plan, downtime impact, completion evidence, return-to-service"
ITEM,Item Master,Master Data,dependency root,1,W0.5/W5,core material/product identity across ERP/MES/eQMS,"unique identity, revision policy, UOM, classification, lifecycle"
CUST,Customer Master,Master Data,dependency root,1,W0.5/W5,"customer identity, terms, site and compliance attributes","duplicate prevention, address/terms authority, sales linkage"
SUP,Supplier Master,Master Data / Supplier Quality,dependency root,1,W0.5/W5,"supplier identity, qualification and risk status","qualification, approved item/scope, risk, SCAR history"
EQP,Equipment / Asset,Maintenance / MES,dependency root,1,W0.5/W6,machine/tool/asset identity for work eligibility and maintenance,"status, calibration, PM, zone/conduit, eligibility"
MDEV,Measurement Device,Quality / Metrology,dependency root,1,W0.5/W6,measurement device authority for inspection evidence,"calibration status, MSA, permitted measure types, traceability"
TENANT,Tenant / Site,Core Platform,platform root,1,W0.5,multi-site configuration and data boundary,"tenant isolation, site hierarchy, feature flags, data partition"
USER,User Identity,Identity / Access,platform root,1,W0.5,human and service identity authority,"authn, MFA policy, lifecycle, session"
ROLE,Role / Permission,Identity / Access,platform root,1,W0.5,role and action authorization authority,"least privilege, segregation-of-duties, object authorization"
POLICY,Policy Decision,Identity / Access,platform root,1,W0.5,policy-as-code for route/API/command/evidence decisions,"deny-by-default, explainability, audit"
WFDEF,Workflow Definition,Workflow Spine,platform root,1,W1,state machine definition for governed roots,"states, transitions, guards, owners, version"
WFEVT,Workflow Event,Workflow Spine,platform root,1,W1,immutable workflow transition evidence,"actor, from/to state, guard evidence, correlation id"
EVID,Evidence Object,Evidence Spine,platform root,1,W1,"attached proof, observation, file, measurement or execution evidence","hash, source, retention, chain of custody"
