command_name,root,input_dto,permission,idempotency_scope,preconditions_gates,transaction_tables,workflow_transition,audit_evidence_outbox,error_codes,tests
CreateParty,Party,party_profile,mdm_admin,party_code,duplicate_check and required fields,party_* tables,party_draft_to_active,audit plus lineage plus outbox,duplicate_party and invalid_identity,duplicate and stale version
CreateItemRevision,ItemRevision,item_revision_packet,engineering,item_id plus revision,item active and spec links,item_* revision_* tables,draft_to_released via separate command,audit plus release evidence,duplicate_revision and invalid_spec,release immutability
ApproveEngineeringReleasePackage,EngineeringReleasePackage,release_package_packet,engineering_manager,package_id,all members released and approvals present,engineering_release_* tables,draft_to_released,evidence hash plus outbox,missing_member and approval_missing,member drift and replay
ReceiveInventory,InventoryLedger,receipt_packet,warehouse,receipt_no plus line,supplier approved and period open,receipt and inventory ledger tables,receipt_created,audit plus supplier evidence,duplicate_receipt and supplier_blocked,retry and closed period
IssueMaterialToWO,InventoryLedger,issue_packet,warehouse_or_shift_lead,wo plus lot plus qty,wo released and lot available and no hold,inventory_ledger wip_ledger mes_material_consumption,none,audit plus issue evidence plus outbox,hold_blocked and insufficient_stock,replay and concurrency
CompleteOperation,InventoryLotSerialLedger,completion_packet,operator_or_shift_lead,wo plus op plus completion_seq,readiness pass and inspections pass,wip_ledger inventory_ledger genealogy tables,running_to_inspection_or_completed,audit plus inspection evidence plus outbox,inspection_fail and qty_mismatch,duplicate and stale snapshot
ApplyQualityHold,QualityGatePolicy,hold_packet,qa_manager,subject plus source,source event valid and duplicate hold absent,quality_hold tables and subject projection,none,audit plus evidence plus outbox,duplicate_hold and invalid_subject,repeat hold and release gate
ReleaseQualityHold,QualityGatePolicy,hold_release_packet,qa_manager_or_mrb_approver,hold_id,disposition and esign and SoD pass,quality_hold and disposition tables,active_to_released,e-sign plus audit plus outbox,esign_required and sod_blocked,replay and missing evidence
ReleaseWorkOrder,WorkOrder,wo_release_packet,shift_leader_or_prod_manager,wo_id,resource readiness snapshot pass,work_order snapshot dispatch tables,scheduled_to_setup_or_running,audit plus readiness packet plus outbox,pm_overdue and nc_checksum_mismatch,double tap and permission
RecordInspectionResult,InspectionPlan,result_packet,quality_inspector,plan plus subject plus sample,plan released and gage valid and actor qualified,inspection_result and quality order tables,inspection_open_to_pass_fail,audit plus evidence,invalid_gage and sample_missing,duplicate sample and fail containment
AdjustInventoryWithApproval,InventoryLedger,adjustment_packet,inventory_controller,adjustment_ref,approved variance and period policy,inventory_ledger cost_ledger approval tables,none,audit plus approval plus outbox,approval_missing and closed_period,replay and evidence missing
PostCopqEntry,CAPA,copq_packet,finance_or_quality,cost_source plus category,source quality case exists and period open,copq_ledger finance tables,draft_to_posted,audit plus source evidence,closed_period and duplicate_source,exception and replay
