family,code,series,path,title,target_archetype,recommended_action,priority,has_doctype,has_html_tag,has_head_tag,has_body_tag,has_lang,has_charset,has_viewport,has_style_css,h2_count,proc_num_count,duplicate_status,canonical_duplicate,phase_hits,reason
ANNEX,ANNEX-101,ANNEX-100,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/10-ANNEX-100-Foundation-Maps-and-Control/annex-101-role-based-access-map.html,ANNEX-101 — Bản đồ phân quyền truy cập theo vai trò| HESEM QMS,Review Needed,KEEP,P2,True,True,True,True,True,True,True,True,10,0,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/10-ANNEX-100-Foundation-Maps-and-Control/annex-101-role-based-access-map.html,,Baseline review required by archetype.
ANNEX,ANNEX-101,ANNEX-100,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/annex-101-role-based-access-map.html,ANNEX-101 — Role-Based Access Map| HESEM QMS,Matrix Annex,DEPRECATE_ALIAS,P0,True,True,True,True,True,True,True,True,10,0,ALIAS,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/10-ANNEX-100-Foundation-Maps-and-Control/annex-101-role-based-access-map.html,,Duplicate basename exists; migrate links to canonical subfolder path and retire alias.
ANNEX,ANNEX-102,ANNEX-100,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/10-ANNEX-100-Foundation-Maps-and-Control/annex-102-access-request-field-dictionary.html,"ANNEX-102 — Từ điển trường dữ liệu cho yêu cầu cấp quyền, đổi quyền và thu hồi quyền | HESEM QMS",Review Needed,KEEP,P2,True,True,True,True,True,True,True,True,8,0,,,,Baseline review required by archetype.
ANNEX,ANNEX-103,ANNEX-100,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/10-ANNEX-100-Foundation-Maps-and-Control/annex-103-org-raci-matrix.html,,Review Needed,REBUILD_WRAPPER,P1,False,False,False,False,False,False,False,True,3,0,,,phase-card,Baseline review required by archetype.
ANNEX,ANNEX-104,ANNEX-100,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/10-ANNEX-100-Foundation-Maps-and-Control/annex-104-org-chart-fullpage.html,"ANNEX-104 — Cơ cấu tổ chức, luồng bàn giao và từ điển vai trò nhóm sản phẩm | HESEM QMS",Review Needed,KEEP,P2,True,True,True,True,True,True,True,True,5,0,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/10-ANNEX-100-Foundation-Maps-and-Control/annex-104-org-chart-fullpage.html,,Baseline review required by archetype.
ANNEX,ANNEX-104,ANNEX-100,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/annex-104-org-chart-fullpage.html,"ANNEX-104 — Cơ cấu tổ chức, luồng bàn giao và từ điển vai trò family | HESEM QMS",Review Needed,DEPRECATE_ALIAS,P0,True,True,True,True,True,True,True,True,5,0,ALIAS,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/10-ANNEX-100-Foundation-Maps-and-Control/annex-104-org-chart-fullpage.html,,Duplicate basename exists; migrate links to canonical subfolder path and retire alias.
ANNEX,ANNEX-105,ANNEX-100,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/10-ANNEX-100-Foundation-Maps-and-Control/annex-105-process-map-detailed.html,ANNEX-105 — Bản đồ quá trình chi tiết và điểm giao diện | HESEM QMS,Review Needed,KEEP,P2,True,True,True,True,True,True,True,True,7,0,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/10-ANNEX-100-Foundation-Maps-and-Control/annex-105-process-map-detailed.html,,Baseline review required by archetype.
ANNEX,ANNEX-105,ANNEX-100,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/annex-105-process-map-detailed.html,ANNEX-105 — Bản đồ quá trình chi tiết và điểm giao diện | HESEM QMS,Review Needed,DEPRECATE_ALIAS,P0,True,True,True,True,True,True,True,True,7,0,ALIAS,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/10-ANNEX-100-Foundation-Maps-and-Control/annex-105-process-map-detailed.html,,Duplicate basename exists; migrate links to canonical subfolder path and retire alias.
ANNEX,ANNEX-106,ANNEX-100,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/10-ANNEX-100-Foundation-Maps-and-Control/annex-106-iso9001-matrix-full.html,ANNEX-106 — Ma trận điều khoản ISO 9001 tới tài liệu và bằng chứng | HESEM QMS,Review Needed,KEEP,P2,True,True,True,True,True,True,True,True,4,0,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/10-ANNEX-100-Foundation-Maps-and-Control/annex-106-iso9001-matrix-full.html,,Baseline review required by archetype.
ANNEX,ANNEX-106,ANNEX-100,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/annex-106-iso9001-matrix-full.html,ANNEX-106 — Ma trận điều khoản ISO 9001 tới tài liệu và bằng chứng | HESEM QMS,Review Needed,DEPRECATE_ALIAS,P0,True,True,True,True,True,True,True,True,4,0,ALIAS,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/10-ANNEX-100-Foundation-Maps-and-Control/annex-106-iso9001-matrix-full.html,,Duplicate basename exists; migrate links to canonical subfolder path and retire alias.
