artifact_id,prompt_id,source_tag,source_path_or_url,root_code,domain,object_or_table,command_ref,workflow_ref,api_ref,event_ref,evidence_ref,audit_ref,esign_ref,telemetry_ref,validation_ref,standard_ref,benchmark_ref,controlled_gap_ref,owner,decision_token
P06-ITEM-001,P06,REPO_EVIDENCE,mom/database/migrations/073_canonical_master_data_core.sql,ROOT-ITEM-001,engineering_authority,item,CreateItem,item_lifecycle,inventory_logistics.inventory-items,hesem.inventory_logistics.inventory-items.active,item_identity_pack,P06-AUD-ARC-01,,duplicate_part_rate,schema_contract_review,,P02-BENCH-002,,item_master_control,P06_PASS_WITH_CONTROLLED_GAPS
P06-ITEM-002,P06,REPO_EVIDENCE,mom/database/migrations/073_canonical_master_data_core.sql,ROOT-ITEM-001,engineering_authority,item_revision,ReleaseItemRevision,item_revision_release,engineering.item-revision.release,item_revision.released,released_revision_packet,P06-AUD-ENG-01,required_for_release,release_blocker_count,release_rule_review,,P02-BENCH-004,,engineering_authority,P06_PASS_WITH_CONTROLLED_GAPS
P06-ITEM-003,P06,REPO_EVIDENCE,mom/database/migrations/073_canonical_master_data_core.sql,ROOT-ITEM-001,planning_production,item_site,ConfigureItemSite,item_site_status,item.site.configuration,item_site.configured,site_profile_packet,P06-AUD-ERP-01,,site_profile_drift,schema_review,,P02-BENCH-001,,planning_production,P06_PASS_WITH_CONTROLLED_GAPS
P06-ITEM-004,P06,REPO_EVIDENCE,mom/database/migrations/006_erp_master_data.sql,ROOT-ITEM-001,engineering_authority,items_legacy_bridge,CreateItem,items_item_status,master_data.items,inventory_items.compatibility_updated,legacy_field_bridge,P06-AUD-DBA-01,,legacy_bridge_usage,bridge_review,,P04-BLUE-002,GAP-P06-001,item_master_control,P06_PASS_WITH_CONTROLLED_GAPS
P06-ITEM-005,P06,REPO_EVIDENCE,mom/contracts/objects/inventory_logistics--inventory-items/contract.json,ROOT-ITEM-001,inventory_logistics,inventory-items,ObsoleteItem,items_item_status,/api/v1/inventory-logistics/inventory-items/{id}:obsolesce,hesem.inventory_logistics.inventory-items.obsolete,released_revision_trace,P06-AUD-API-01,,obsolete_item_cleanup_rate,contract_review,,P02-BENCH-002,,inventory_logistics,P06_PASS_WITH_CONTROLLED_GAPS
P06-ITEM-006,P06,REPO_EVIDENCE,docs/backend/WORKFLOW_STATUS_UNIFICATION_SPEC.md,ROOT-ITEM-001,cross_domain,engineering_ready_gate,ReleaseItemRevision,engineering_ready,so_jo_wo_release_gate,engineering.package_gate_block,engineering_release_evidence,P06-AUD-MES-01,,release_gate_failures,workflow_gate_review,,P02-BENCH-001,,engineering_authority,P06_PASS_WITH_CONTROLLED_GAPS
P06-ITEM-007,P06,REPO_EVIDENCE,mom/api/services/TrustedReleaseRecordService.php,ROOT-ITEM-001,traceability,release_packet_snapshot,ReleaseItemRevision,immutable_execution_snapshot,trusted_release_record.release,release_record.release,part_revision_lot_serial_snapshot,P06-AUD-EXT-01,required_for_regulated_release,immutable_conflict_count,packet_service_review,,P02-BENCH-004,,traceability_authority,P06_PASS_WITH_CONTROLLED_GAPS
P06-ITEM-008,P06,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_ITEM_FIELD_CATALOG.csv,ROOT-ITEM-001,commercial_operations,item_customer_crossref,AddCustomerCrossRef,item_customer_crossref_effectivity,commercial.item.customer-crossref,item.customer_crossref_added,customer_item_approval_basis,P06-AUD-CFO-01,,crossref_mismatch_rate,authority_model_review,,P05-AUTH-003,GAP-P06-002,commercial_operations,P06_PASS_WITH_CONTROLLED_GAPS
P06-ITEM-009,P06,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_ITEM_FIELD_CATALOG.csv,ROOT-ITEM-001,procurement_supplier_quality,item_supplier_crossref,AddSupplierCrossRef,item_supplier_crossref_effectivity,procurement.item.supplier-crossref,item.supplier_crossref_added,supplier_process_approval_basis,P06-AUD-QUAL-01,,supplier_crossref_expiry_rate,authority_model_review,,P05-AUTH-004,GAP-P06-002,procurement_supplier_quality,P06_PASS_WITH_CONTROLLED_GAPS
P06-ITEM-010,P06,INFERENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/P06_item_material_part_number_revision_site_and_specification_authority_prompt_MAIN.md,ROOT-ITEM-001,platform_backend,uom_dependency_boundary,CreateItem,item_uom_reference,none,none,uom_reference_only,P06-AUD-MDG-01,,uom_boundary_violations,scope_boundary_review,,P01-MAP-007,GAP-P06-003,platform_backend,P06_PASS_WITH_CONTROLLED_GAPS
