gap_id,severity,status,domain,description,evidence,owner_prompt,next_action
"GAP-P03-003","P0","repaired_physical_schema","engineering_authority","EngineeringReleaseBundle canonical root was design-only and not backed by schema.","Migration 234 adds `engineering_release_package`.","P31","Add transactional command API and generated contract."
"GAP-P04-002","P0","repaired_physical_schema","engineering_authority","Engineering release package root and member tables were absent.","Migration 234 adds package root/member/approval/binding/snapshot tables.","P31","Implement package create/validate/release/supersede/withdraw command service."
"GAP-P07-001","P0","partially_repaired","engineering_authority","SO/JO/WO release needs one canonical package authority.","P30 adds binding and WO snapshot table plus snapshot service; SO/JO/WO release commands are not wired yet.","P34","Wire work-order release/start gates to package authority and ResourceReadinessService."
"GAP-P07-002","P0","open","platform_backend","Release verification must read PostgreSQL authority without JSON primary fallback.","Runtime audit still reports JSON_ONLY and database not reachable.","P37","Run live migration/reconciliation/cutover and restore drill."
"GAP-P07-003","P1","partially_repaired","quality_authority","Inspection gates need one characteristic and sampling authority in the release package.","P30 requires `inspection_plan` package member and blocks missing inspection plan.","P33","Complete canonical quality plan/hold/order runtime integration."
"GAP-P07-004","P1","partially_repaired","commercial_supplier_quality","Engineering release must use explicit customer/supplier approvals, not metadata.","P30 adds approval hooks and customer-specific approval gate; P28/P29 physical approval/crossref tables exist.","P31","Wire approval records into transactional release command."
"GAP-P07-005","P1","open","security_iam","Package release approval must carry actor evidence, SoD, and replay safety.","P30 only adds e-sign hook fields; no final command/e-sign spine.","P32","Implement e-sign/re-auth/SoD/record-hash validation."
"GAP-P09-003","P1","partially_repaired","tooling_engineering","Tool load decisions need explicit compatibility truth.","P30 member type supports `tooling_requirement`; P34 still owns tool readiness and compatibility enforcement.","P34","Wire tooling compatibility/life/gage readiness into package/readiness service."
"P30-NEW-001","P1","controlled_gap","generated_registry","Generated `table-registry.json` does not include P30 package tables.","P30 intentionally did not hand-edit generated artifact.","P37","Regenerate registry/OpenAPI/frontend projections."
"P30-NEW-002","P1","controlled_gap","test_runner","PHPUnit tests were added but local runner is unavailable.","`composer --working-dir=mom test` cannot open `vendor/bin/phpunit`.","P40","Restore dependencies or run focused tests in CI."
