source_path,evidence_found,classification,p39_impact,gap_or_decision
_reports/agent-audits/mda-v3-runtime-upgrade-2026-05-29/P38_HANDOFF_PACKET.md,P38_PASS_WITH_CONTROLLED_GAPS with static scenario runner and runtime command driver pending,previous_handoff,P39 must not claim runtime command-stack acceptance,Proceed with security boundary slice only
mom/api/services/AuthorizationKernel.php,central PDP and deny decisions exist but catalog presence can fail open for legacy compatibility,existing_guard,P39 adds explicit MDA boundary evaluator but does not replace PDP,CONTROLLED_GAP live PDP convergence pending
mom/api/services/AuthGuard.php,session and MFA guard surfaces exist,existing_guard,P39 reauth evaluator can consume challenge evidence but does not issue challenges,CONTROLLED_GAP challenge issuance/persistence pending
mom/api/services/RegulatedCommandEvidenceGateService.php,signature meaning record hash signer timestamp SoD and reauth checks exist for regulated command evidence,existing_gate,P39 adds broader security boundary and SoD exception authority anchors,Partially repairs P23-P1-011 and P23-P1-039
mom/api/controllers/GenericCrudController.php,governed high-risk tables are statically denied for generic mutation,existing_hard_stop,P39 tables were added to the denylist,Repair implemented
mom/contracts/governed-entities.json,MDA governed entity registry exists and drives generic mutation boundaries,registry,P39 adds MDA-SECURITY-BOUNDARY root,Repair implemented
mom/database/migrations/185_authz_decision_log.sql,auth_decision_event exists as prior authz decision log,physical_evidence,P39 migration extends MDA-specific policy/event anchors,Repair implemented
mom/database/migrations/242_mda_security_boundary_authority.sql,new additive migration with policy redaction SoD AI firewall OT trust and decision tables,physical_evidence,Creates security boundary authority anchors,Repair implemented
mom/api/services/MdaRuntimeSecurityBoundaryService.php,new side-effect-free evaluator for BOLA AI action firewall privileged reauth SoD exception OT signal trust and field redaction,service_evidence,Converts P39 focus areas into executable gates,Repair implemented
mom/tests/Unit/Services/MdaRuntimeSecurityBoundaryServiceTest.php,unit tests cover required P39 scenarios and field redaction,test_evidence,Converts required simulations into tests,Repair implemented but PHPUnit vendor unavailable locally
docs/backend/RUNTIME_AUTHORITY_MAP.md,JSON_ONLY SHADOW_WRITE POSTGRES_PRIMARY and POSTGRES_ONLY modes define runtime authority semantics,architecture_evidence,P39 cannot claim runtime-complete while local mode remains JSON_ONLY,CONTROLLED_GAP
docs/backend/DOMAIN_COMMAND_SPEC.md,domain command envelope/idempotency/problem/audit/outbox expectations documented,architecture_evidence,P39 must be invoked from command gateway before governed mutation,CONTROLLED_GAP GAP-P39-001
