source_path,evidence_found,authority_read,authority_write,gap_or_decision
_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_EXTERNAL_REDTEAM_REPORT.md,"V1/V2 are enterprise-grade planning material, not runtime-complete.",planning_only,none,"P28 must add physical/runtime evidence and avoid production-ready claim."
_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_CONTROLLED_GAP_LEDGER.csv,"GAP-P05-001 through GAP-P05-005 identify user_party_link, operator qualification split, approval convergence, merge remap, and regulated reauth gaps.",gap_register,none,"P28 can close physical evidence only; P31/P32/P34 still own command/e-sign/readiness runtime."
_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_FINAL_MASTER_BUILD_PLAN.md,"Wave 1 targets party, identity link, item, item revision, site/spec backbone.",planning_authority,none,"P28 belongs to Wave 1 and must remain compatible with later command waves."
docs/backend/RUNTIME_AUTHORITY_MAP.md,"Target rule: PostgreSQL authority, domain command mutation, JSON only classified compatibility modes.",runtime_policy,none,"P28 cannot leave governed mutation to Generic CRUD or JSON."
docs/backend/DOMAIN_COMMAND_SPEC.md,"Common command contract requires idempotency, audit/evidence, outbox, and e-sign on regulated commands.",command_policy,none,"P28 service is a gate helper, not final command authority."
docs/backend/POSTGRES_MIGRATION_AND_SYNC_SPEC.md,"customer_item_approvals, supplier_process_approvals, and operators are required master-data sync collections.",migration_policy,none,"P28 physicalizes approval tables but cutover/reconciliation remains controlled."
mom/contracts/table-registry.json,"party, party_role, users, hcm_employees, and mes_operator_qualifications exist in registry; new P28 tables are not yet generated into table-registry.",generated_registry,none,"Do not hand-edit generated table-registry; P37/P40 should regenerate after broader schema waves."
mom/contracts/governed-entities.json,"MDA-PARTY-IDENTITY governed root existed and was extended with P28 physical tables.",generic_crud_guard_contract,none,"Generic CRUD guard now recognizes P28 tables as governed."
.ai/USER_IDENTITY_SSOT.md,"Users/hcm identity writes must go through AuthUserShadowSyncService and reads through v_user_canonical.",identity_ssot,AuthUserShadowSyncService,"P28 added user_party_link without duplicating username/full_name/email/role/dept/title."
mom/database/migrations/072_canonical_foundation_governance.sql,"party, party_role, party_site, party_contact exist.",party_schema,none,"Base party root exists but lacked user bridge/profile/approval/remap authority."
mom/database/migrations/025_mes_tables.sql,"mes_operator_qualifications exists with employee_id, qualification type/code, expiry, active flag.",operator_qualification_schema,none,"P28 service can evaluate this shape; P34 must wire start-job readiness to one chain."
mom/database/migrations/064_master_data_governance.sql,"mdm_duplicate_candidates exists but no transactional party remap catalog.",duplicate_detection,none,"P28 adds party_merge_remap_catalog for replay-safe planned remaps."
mom/database/migrations/178_user_identity_ssot_guards.sql,"v_user_canonical exists as read SSOT and drift checks audit employees.role_code drift.",identity_read_view,AuthUserShadowSyncService,"P28 service treats v_user_canonical as input and never writes identity tables."
mom/api/services/AuthUserShadowSyncService.php,"Single dual-write boundary for users and hcm_employees.",identity_sync,AuthUserShadowSyncService,"P28 leaves this service as the only identity writer."
mom/api/services/WorkforceQualificationGateService.php,"Existing qualification gate reads config/ledger files and emits MES event decisions.",operator_gate_partial,configuration_and_event_ledger,"P28 does not replace it; P34 must converge it with PostgreSQL authority."
mom/api/services/PartyIdentityAuthorityService.php,"New P28 service evaluates user-party link, operator readiness, supplier/customer approval effectivity, SoD, and merge remap planning.",runtime_gate_helper,none,"Safe vertical slice proves gate logic without bypassing command authority."
mom/database/migrations/232_party_identity_link_authority.sql,"New physical tables for user_party_link, party_profile_extension, customer_item_approval_authority, supplier_process_approval_authority, party_merge_remap_catalog.",postgres_schema,domain_commands_pending,"Physical authority exists; mutation commands still pending."
mom/tests/Unit/Services/PartyIdentityAuthorityServiceTest.php,"Tests cover terminated employee, expired qualification, expired supplier certificate, SoD self-approval, and unmapped merge reference.",test_evidence,none,"PHPUnit runner unavailable, but direct PHP smoke was executed."
