wave,name,goal,entry,exit,outputs,decision
W0,Phase 2 Integration Review & Repair,Stop implementation drift; verify current main/branch; repair Chromium baseline blocker,Uploaded source + repo state; no new slice,V21 reports created; stream matrix classified; blocker resolved or formally contained,"V21 current-main report, stream status matrix, Chromium repair plan, integration review",PHASE2_INTEGRATION_PASS_READY_FOR_PHASE3_PLANNING or BLOCKED_CROSS_BROWSER
W0.5,Platform Substrate Hardening,Stabilize mandatory spines before more slices,W0 pass or approved repair path,Identity/workflow/evidence/API/data contracts/Graphics Authority baseline accepted,"Spine contracts, guard scripts, token governance, API contract template",W0_5_PLATFORM_SUBSTRATE_ACCEPTED
W1,HMV4 Foundation Productization,Convert slice prototype mechanics into repeatable product factory,W0.5 accepted,"Slice factory, fixtures, route parser, WS/AR templates, visual gates stable","Slice factory, templates, QA harness, rollback scripts",W1_SLICE_FACTORY_READY
W2,Governed Record Factory,Build reusable AR root shell factory for quality/ERP/MES records,W1 ready,"Record shell, tabs, audit/evidence/signature placeholders repeatable","AR template, root contract template, record shell tests",W2_RECORD_FACTORY_READY
W3,eQMS + Workforce + Maintenance Core,Graduate CAPA/CDOC/TRAIN/MWO/INSP workflow and evidence foundations,W2 ready,Core eQMS workflows fixture/E2E and selected live read-only APIs stable,CAPA/CDOC/TRAIN/MWO/INSP reports,W3_EQMS_CORE_READY
W4,Live Read-Only API Graduation,Turn selected roots from fixture to opt-in live read-only with fallback,W3 core stable,NQCASE/CAPA/CDOC/TRAIN/INSP read APIs contracted and observed,"OpenAPI, problem registry, live-vs-fixture reports",W4_LIVE_READ_ONLY_READY
W4.5,OTG Native Cutover,Make Operational Truth Graph an explicit product primitive,W4 ready,OTG nodes/edges/contracts and lineage browser prototype,"OTG schema, graph traversal tests, evidence lineage",W4_5_OTG_NATIVE_READY
W5,Core Transactional ERP/MOM,Implement SO/PO/JO/WO/INVTXN/SHIP/INVOICE/COST controlled flows,W4.5 ready,Transactional commands with workflow/audit/idempotency and rollback proof,"Command bus, API/event contracts, transaction tests",W5_TRANSACTIONAL_CORE_READY
W6,MES/OT Foundation,"Build operation execution, equipment, work center, routing and OT-safe edge model",W5 ready,"MES execution roots and OT boundaries modeled, read/write control gated","ISA-95/88 model, equipment/routing/operation packages",W6_MES_OT_FOUNDATION_READY
W6.5,AI Advisory Controlled Rollout,Introduce AI copilot as advisory only with eval and risk controls,W6 foundation + AI risk package,AI can retrieve/explain/summarize; cannot execute regulated decisions,"AI eval harness, intended-use, tool policy, red-team report",W6_5_AI_ADVISORY_READY
W7,Digital Thread / Genealogy / Release,Connect lot/serial/inspection/NC/CAPA/MRB/release into release packet,W6.5 ready,Genealogy and release packet can prove make-to-release path,"Release packet, genealogy graph, containment workflow",W7_DIGITAL_THREAD_RELEASE_READY
W8,Analytics / Improvement / Reliability,"CDC, lakehouse, OEE/SPC/cost and SRE telemetry mature",W7 ready,Quality/OEE/cost analytics from governed data contracts,"Data products, OTel dashboards, DORA/SLO dashboards",W8_ANALYTICS_RELIABILITY_READY
W9,Security / Validation / Compliance Closure,Complete validation and security packages for regulated scope,W8 ready,"VMP/URS/RTM/IQ/OQ/PQ, ASVS/API/62443 evidence accepted","Validation package, security evidence, backup/restore rehearsal",W9_COMPLIANCE_VALIDATION_READY
W10,Vertical Packs,"Package pharma, med device, automotive, aerospace, industrial variants",W9 ready,Vertical roots and templates defined with onboarding packs,Pharma/med device/auto/aero pack docs and data contracts,W10_VERTICAL_PACKS_READY
W11,Customer Pilot / Pre-Production Readiness,Prepare controlled pilot without calling it production,W10 ready,"Pilot playbook, training, support, SRE, rollback and validation evidence ready","Pilot checklist, site readiness, support runbook",W11_PRE_PRODUCTION_READINESS_READY
W12,Release Candidate / Scale Operating Model,Build multi-site productization and enterprise support operating model,W11 ready,"Scale governance, tenant onboarding, operations, support, financial model stable","RC evidence book, commercial model, SRE/support model",W12_PRODUCTIZED_OPERATING_MODEL_READY
