blocker_id,severity,root,status,current_evidence,repair_owner_prompt,proof_required
P0-MASTERDATA-COMPATIBILITY-ONLY,P0,Item/ItemRevision,open,"MasterDataService JsonMasterDataRepository reports compatibility_only JSON primary",P45,"PostgreSQL repository is authority and JSON is compatibility bridge only"
P0-UOM-AUTHORITY-AMBIGUITY,P0,Foundation/UOM,open,"UOM route and services exist but no mandatory domain command resolver proof",P46,"All governed measurement writes use canonical UOM resolver inside command transaction"
P0-GENERIC-CRUD-GOVERNED-MUTATION,P0,GenericCrudBoundary,open,"Generic CRUD hard-stop exists but registry-wide proof and OpenAPI deny markers missing",P44,"All governed roots blocked at HTTP service and registry with tests"
P0-REQUIREMENT-RESOLVER-CALLER-PROVIDED,P0,EngineeringReleasePackage,open,"No RuntimeRequirementResolver proof in current branch",P47,"Server-side resolver ignores caller require_* flags and fails closed"
P0-MISSING-DOMAIN-COMMAND-HANDLER,P0,Item/ItemRevision,open,"No MDA DomainCommandGateway or root command handlers found",P49,"Command gateway handles envelope idempotency transaction audit evidence outbox problem details"
P0-ENGINEERING-PACKAGE-NOT-LIVE-GATED,P0,EngineeringReleasePackage,open,"TrustedReleaseRecord and order gates are partial but release package command is missing",P48,"SO JO WO release consumes physical released engineering package snapshot"
P0-RESOURCE-READINESS-NOT-WIRED,P0,ResourceReadiness/MES,open,"Workforce and event services exist but ResourceReadinessService file not found",P52,"WO release/start commands call composite readiness service"
P0-QUALITY-HOLD-FRAGMENTATION,P0,QualityHold/eQMS,open,"Hold evidence is split across EQMS controllers logistics JSON holds and decision thresholds",P53,"Canonical quality_holds command graph blocks movement shipment and job paths"
P0-INVENTORY-BALANCE-DIRECT-MUTATION,P0,Inventory/Ledger/Cost,open,"Inventory ledger tables exist but posting command and balance projection proof missing",P54,"Stock balances are ledger projections and direct mutation is blocked"
P0-AUDIT-EVIDENCE-ESIGN-NOT-WIRED,P0,Evidence/eSign/Audit,open,"Evidence and control-plane services exist only as partial slice proof",P51,"All regulated commands require e-sign meaning record hash SoD re-auth audit evidence outbox"
P0-SCENARIO-MOCK-ONLY-FINAL-ACCEPTANCE,P0,ScenarioRunner/RedTeam,open,"ScenarioRegistryService validates static count only",P58,"Runner executes real command stack and writes audit evidence dashboard"
P0-POSTGRES-ONLY-WITHOUT-RESTORE-DRILL,P0,All roots,open,"No V4 restore drill evidence on current branch",P59,"Cutover rehearsal restore drill browser/operator smoke and rollback proof"
P1-MIGRATION-SEQUENCE-HYGIENE,P1,All roots,open,"0 P1 and 3 P2 duplicate historical migration prefixes plus numbering gaps",P43,"Next migration reserved after all-branch audit and no new duplicate prefix"
P1-TEST-ENVIRONMENT-INCOMPLETE,P1,All roots,open,"composer test blocked because mom/vendor is absent",P43,"Dependencies or CI evidence available before runtime closure claim"
