area,path,evidence,verdict,gap_or_action
"Prompt and prior handoff","/Users/a10/Downloads/HESEM_MDA_V3_RUNTIME_UPGRADE_PROMPT_OS_2026-05-29/prompts/p29_item_material_part_number_revision_site_specification_and_profile_authority.md; _reports/agent-audits/mda-v3-runtime-upgrade-2026-05-29/P28_HANDOFF_PACKET.md","P29 requires deterministic item/revision/site/spec/profile authority and P28 hands off physical party approval tables.","usable","Proceed only as a bounded P29 slice; do not claim command/e-sign completion."
"Runtime authority policy","docs/backend/RUNTIME_AUTHORITY_MAP.md; docs/backend/DOMAIN_COMMAND_SPEC.md; docs/backend/POSTGRES_MIGRATION_AND_SYNC_SPEC.md","Repo policy keeps PostgreSQL as transactional authority, command services as mutation authority, JSON as compatibility mode.","blocking_for_readiness","Any P29 runtime proof remains partial until P31/P32/P37 close command, e-sign, and cutover evidence."
"Canonical item schema","mom/database/migrations/073_canonical_master_data_core.sql","Physical `item`, `item_revision`, `item_site`, `item_spec`, `item_attr`, and `item_class` tables exist.","partial","Add missing bridge/profile/crossref and immutability controls without replacing canonical roots."
"Legacy item schema","mom/database/migrations/006_erp_master_data.sql; mom/database/RuntimeShadowSync.php","Legacy `items` and `item_revisions` remain in sync bridge; RuntimeShadowSync writes legacy item paths.","compatibility_bridge","Add deterministic legacy key bridge; keep JSON/legacy classified as compatibility until cutover."
"Lookup runtime","mom/api/services/MasterDataLookupService.php","Lookup service reads canonical `item` and legacy `item_revisions` and shapes JSON-like responses.","partial","Do not treat read lookup as mutation authority."
"UOM dependency","mom/database/migrations/213_uom_measurement_authority.sql; mom/api/services/UomAuthorityService.php","P25 added UOM schema/service and `assertUomApprovedForRelease`. P29 can consume it.","usable_with_scope_limit","Do not edit UOM artifacts; only use the service as release prerequisite."
"Party approval dependency","mom/database/migrations/232_party_identity_link_authority.sql; mom/api/services/PartyIdentityAuthorityService.php","P28 created customer item approval and supplier process approval physical tables.","usable","P29 crossrefs can reference P28 approvals."
"Generated registry","mom/contracts/table-registry.json","Generated table registry lists canonical item tables but not newly added P28/P29 authority tables.","controlled_gap","Do not hand-edit generated artifact; defer regeneration to P37/P40."
"Generic CRUD guard","mom/api/controllers/GenericCrudController.php; mom/contracts/governed-entities.json","Governed entity denylist blocks item/revision/spec roots; P29 extends fallback and registry for new tables.","repaired_partial","Mutation hard stop exists, but command authority remains P31."
"Runtime proof matrix","_reports/agent-audits/mda-v3-runtime-upgrade-2026-05-29/MDA_V3_RUNTIME_PROOF_MATRIX.csv","ROOT-ITEM-001 and ROOT-REV-001 were maturity 2 JSON/schema partial before P29.","updated","Bump to maturity 3 for physicalized bridge and immutability guard, not runtime-complete."
"Discovery commands","pwd; git status --short; git rev-parse --short HEAD; grep/find probes","Worktree `/Users/a10/Documents/mom-mda-v3-runtime-20260529`, branch `codex/mda-v3-runtime-upgrade-20260529`, commit before P29 `349420739`, existing edits limited to P29 files.","usable","Continue sequentially; no original checkout or UOM branch edits."
