artifact_id,prompt_id,source_tag,source_path_or_url,root_code,domain,object_or_table,command_ref,workflow_ref,api_ref,event_ref,evidence_ref,audit_ref,esign_ref,telemetry_ref,validation_ref,standard_ref,benchmark_ref,controlled_gap_ref,owner,decision_token
P07-ENG-001,P07,REPO_EVIDENCE,mom/database/migrations/006_erp_master_data.sql,ROOT-ENG-001,engineering_authority,bill_of_materials,ReleaseBomVersion,bom_release,engineering.bom.release,bom.released,bom_version_packet,P07-AUD-DBA-01,,bom_overlap_conflicts,schema_review,,P02-BENCH-004,,engineering_authority,P07_PASS_WITH_CONTROLLED_GAPS
P07-ENG-002,P07,REPO_EVIDENCE,mom/database/migrations/006_erp_master_data.sql,ROOT-ENG-001,engineering_authority,routings,ReleaseWorkDefinition,work_definition_release,engineering.work_definition.release,work_definition.released,operation_resource_packet,P07-AUD-MES-01,,inactive_work_center_refs,schema_review,,P02-BENCH-004,,manufacturing_engineering,P07_PASS_WITH_CONTROLLED_GAPS
P07-ENG-003,P07,REPO_EVIDENCE,mom/database/migrations/042_fmea_apqp_control_plan_mobile.sql,ROOT-ENG-001,quality_authority,control_plans,CreateControlPlanRevision,control_plan_release,fmea_apqp.control_plan.release,control_plan.released,pfmea_linkage_packet,P07-AUD-QUAL-01,,ctq_missing_reaction_plan,quality_plan_review,,P02-BENCH-003,,quality_authority,P07_PASS_WITH_CONTROLLED_GAPS
P07-ENG-004,P07,REPO_EVIDENCE,mom/database/migrations/011_quality.sql,ROOT-ENG-001,quality_authority,inspection_plans,CreateInspectionPlanRevision,inspection_plan_release,quality.inspection_plan.release,inspection_plan.released,sampling_and_gage_packet,P07-AUD-QUAL-02,,missing_inspection_plan_refs,quality_plan_review,,P02-BENCH-003,,quality_authority,P07_PASS_WITH_CONTROLLED_GAPS
P07-ENG-005,P07,REPO_EVIDENCE,mom/database/migrations/039_cnc_program_management.sql,ROOT-ENG-001,tooling_cnc,cnc_programs,ReleaseNcProgram,cnc_program_release,cnc.program.release,cnc_program.released,checksum_validation_packet,P07-AUD-TOOL-01,required_for_release,cnc_release_failures,cnc_schema_review,,P02-BENCH-004,,tooling_cnc,P07_PASS_WITH_CONTROLLED_GAPS
P07-ENG-006,P07,REPO_EVIDENCE,mom/database/migrations/026_mes_world_class_foundations.sql,ROOT-ENG-001,mes_execution,mes_nc_release_packages,ApproveEngineeringReleasePackage,mes_nc_release_package,wf_mes_nc_release_package,mes.nc.release.package,mes.nc.release_package_released,download_receipt_chain,P07-AUD-TOOL-02,required_for_release,nc_checksum_mismatch_rate,registry_review,,P02-BENCH-001,GAP-P07-002,mes_execution,P07_PASS_WITH_CONTROLLED_GAPS
P07-ENG-007,P07,REPO_EVIDENCE,mom/api/services/ShopfloorExecutionService.php,ROOT-ENG-001,mes_execution,digital_thread_reference_gate,ApproveEngineeringReleasePackage,shopfloor_reference_gate,shopfloor.execution.start,shopfloor.reference_blocked,cnc_setup_inspection_blockers,P07-AUD-SHOP-01,,missing_reference_blockers,service_review,,P02-BENCH-001,,mes_execution,P07_PASS_WITH_CONTROLLED_GAPS
P07-ENG-008,P07,REPO_EVIDENCE,docs/backend/WORKFLOW_STATUS_UNIFICATION_SPEC.md,ROOT-ENG-001,cross_domain,engineering_ready_release_gate,ApproveEngineeringReleasePackage,engineering_ready,sales_order.engineering_ready,engineering_release_gate_block,so_jo_wo_package_gate,P07-AUD-ERP-01,required_for_release,engineering_ready_failures,workflow_review,,P02-BENCH-001,GAP-P07-001,engineering_authority,P07_PASS_WITH_CONTROLLED_GAPS
P07-ENG-009,P07,REPO_EVIDENCE,mom/database/migrations/063_manufacturing_engineering_industrialization.sql,ROOT-ENG-001,manufacturing_engineering,eng_work_instructions,ReleaseWorkDefinition,work_instruction_release,engineering.work_instruction.release,work_instruction.released,document_link_packet,P07-AUD-TOOL-03,,obsolete_instruction_refs,schema_review,,P02-BENCH-004,,manufacturing_engineering,P07_PASS_WITH_CONTROLLED_GAPS
P07-ENG-010,P07,INFERENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/P07_engineering_definition_authority_bom_routing_work_definition_control_plan_inspec_MAIN.md,ROOT-ENG-001,engineering_authority,engineering_release_package,ApproveEngineeringReleasePackage,engineering_release_package,engineering.release.package,engineering_release_package.released,bundle_member_hash_packet,P07-AUD-ARC-01,required_for_release,package_member_drift,authority_model_review,,P03-TAX-003,GAP-P07-001,engineering_authority,P07_PASS_WITH_CONTROLLED_GAPS
