scenario_id,group,seed_data,preconditions,commands,expected_events,expected_ledgers,expected_holds,expected_audit_or_evidence,expected_errors,assertions
SIMLIB-001,master_data,item draft exists,unique code and owner,CreateItemRevision,item_revision.created,none,none,audit row,no_error,status draft
SIMLIB-002,master_data,duplicate party candidate,matching tax id,CreateParty,none,none,none,duplicate review packet,duplicate_party,error returned
SIMLIB-003,master_data,item review ready,approvals complete,ReleaseItemRevision,item_revision.released,none,none,release packet,no_error,released immutable
SIMLIB-004,engineering,bom and routing ready,cp and ip released,ApproveEngineeringReleasePackage,engineering_release_package.released,none,none,member hash packet,no_error,package snapshot frozen
SIMLIB-005,engineering,missing IP,release package incomplete,ApproveEngineeringReleasePackage,none,none,none,gate failure packet,missing_inspection_plan,release blocked
SIMLIB-006,supplier_quality,approved supplier receipt,PO approved,ReceiveInventory,inventory.receipt_recorded,inventory_ledger receipt,iqc pending,receipt evidence,no_error,quarantine stock only
SIMLIB-007,supplier_quality,receipt fails IQC,quality trigger active,RecordIqcResult,quality.hold_applied,none,inventory hold,inspection evidence,inspection_fail,putaway blocked
SIMLIB-008,inventory,passed receipt lot,available stock,PutawayInventory,inventory.putaway_recorded,inventory_ledger move,none,warehouse evidence,no_error,location updated
SIMLIB-009,inventory,held lot requested,hold active,IssueMaterialToWO,none,none,quality hold,hold evidence,hold_blocked,issue blocked
SIMLIB-010,inventory,insufficient qty,balance low,IssueMaterialToWO,none,none,none,stock check evidence,insufficient_stock,issue blocked
SIMLIB-011,inventory,same issue replay,same fingerprint,IssueMaterialToWO,inventory.issued_to_wip,wip and inventory once,none,audit replay,no_error,single ledger mutation
SIMLIB-012,inventory,closed period issue,period closed,IssueMaterialToWO,none,none,none,period policy evidence,closed_period,no posting
SIMLIB-013,mes,wo scheduled,all readiness pass,ReleaseWorkOrder,work_order.released,none,none,readiness snapshot,no_error,wo setup or running
SIMLIB-014,mes,operator expired,training out of date,StartJob,none,none,none,qualification evidence,block_operator_training,no start
SIMLIB-015,mes,machine PM overdue,PM overdue,StartJob,none,none,none,maintenance evidence,block_machine_pm,no start
SIMLIB-016,mes,nc mismatch,wrong checksum,LoadProgram,none,none,none,program receipt evidence,block_program_checksum,no run
SIMLIB-017,mes,tool near stop,life below threshold,LoadTool,none,none,none,tool life evidence,block_tool_life,no run
SIMLIB-018,mes,good run,inputs issued,RecordProcessParam,mes.process_parameter_recorded,none,none,param evidence,no_error,param captured
SIMLIB-019,mes,ipqc fail,measurement out of limit,RecordInspectionResult,quality.hold_applied,none,lot hold,inspection evidence,inspection_fail,completion blocked
SIMLIB-020,mes,good completion,all inspections pass,CompleteOperation,production.output_recorded,wip and inventory and cost,none,genealogy evidence,no_error,output lot created
SIMLIB-021,mes,double complete,double tap replay,CompleteOperation,production.output_recorded,one set only,none,replay audit,no_error,no duplicate output
SIMLIB-022,mes,scrap threshold exceeded,scrap high,ReportScrap,quality.deviation_opened,scrap and cost,possible hold,scrap evidence,approval_required,supervisor gate
SIMLIB-023,quality,oqc fail,shipment pending,RecordOqcResult,quality.hold_applied,none,shipment hold,oqc evidence,inspection_fail,shipment blocked
SIMLIB-024,quality,ncr created,containment needed,CreateNcrFromFailure,quality.case_linked,none,quality hold,ncr evidence,no_error,ncr linked to source
SIMLIB-025,quality,capa created,root cause started,CreateCapa,quality.capa_initiated,none,none,capa packet,no_error,capa traceable
SIMLIB-026,quality,mrb use as is,approved concession,ReleaseQualityHold,quality.hold_released,none,hold released,mrb minutes and esign,no_error,controlled release
SIMLIB-027,quality,SoD violation,same creator approver,ReleaseQualityHold,none,none,hold remains,esign packet,sod_blocked,release blocked
SIMLIB-028,tooling,breakage event,run active,RecordToolBreakage,tool.breakage_recorded,none,suspect quantity hold,breakage evidence,no_error,containment opens
SIMLIB-029,tooling,gage OOT,measurement system invalid,ReleaseWorkOrder,none,none,none,calibration evidence,block_gage_calibration,wo blocked
SIMLIB-030,traceability,complaint serial exists,shipment linked,SimulateRecall,trace.recall_simulated,none,possible hold,recall export,no_error,backward chain complete
SIMLIB-031,traceability,supplier heat exists,shipments linked,SimulateRecall,trace.recall_simulated,none,possible hold,recall export,no_error,forward chain complete
SIMLIB-032,traceability,missing genealogy edge,output missing input link,GenerateDppFromShipment,none,none,shipment hold,trace gap evidence,trace_incomplete,DPP blocked
SIMLIB-033,finance,copq source exists,period open,PostCopqEntry,quality.copq_posted,copq ledger,none,cost evidence,no_error,copq posted
SIMLIB-034,finance,backdate without exception,period closed,PostCopqEntry,none,none,none,period policy evidence,closed_period,posting blocked
SIMLIB-035,finance,shipment confirmed,invoice pending,PostArInvoice,ar.invoice_posted,ar ledger,none,invoice evidence,no_error,SO invoice linked
SIMLIB-036,finance,SO close with open hold,quality hold active,CloseSalesOrder,none,none,hold remains,close attempt audit,open_hold,SO remains open
SIMLIB-037,migration,shadow write fail,PG unavailable,ReceiveInventory,inventory.receipt_recorded,json authoritative only,projection stale,reconcile warning,shadow_write_failed,cutover blocked later
SIMLIB-038,migration,fallback read in primary,PG row missing,OpenItemRecord,none,none,none,telemetry alert,fallback_read,alert emitted
SIMLIB-039,migration,unknown status import,legacy alias new,MigrationBatch,none,none,none,mapping report,unknown_status,batch blocked
SIMLIB-040,migration,rerun batch same payload,mapping stable,MigrationBatch,none,none,none,batch audit,no_error,idempotent rerun
SIMLIB-041,security,expired session,privileged command,ReleaseQualityHold,none,none,hold remains,auth audit,auth_expired,command blocked
SIMLIB-042,security,reused totp,esign command,ApproveEngineeringReleasePackage,none,none,none,security evidence,esign_replay,command blocked
SIMLIB-043,security,ai tries release,no human command,AIProposalOnly,none,none,none,advisory log,autonomous_action_forbidden,proposal only
SIMLIB-044,security,supplier portal cross tenant,wrong supplier record,OpenSupplierNcr,none,none,none,access audit,permission_denied,redaction and deny
SIMLIB-045,security,edge fake ready,unapproved adapter mapping,RecordMachineEvent,none,none,none,security audit,adapter_untrusted,event quarantined
SIMLIB-046,observability,drift spike,post migration,ReconcileDomain,drift.detected,none,none,reconcile report,no_error,p0 alert
SIMLIB-047,observability,outbox lag high,worker stalled,DispatchOutbox,outbox.lag_alert,none,none,incident evidence,no_error,alert fired
SIMLIB-048,observability,audit write failure,audit store down,ReleaseItemRevision,none,none,none,failure log,audit_write_failure,fail closed
SIMLIB-049,observability,projection stale,dashboard open,OpenReadinessBoard,none,none,none,ui telemetry,projection_stale,actions disabled
SIMLIB-050,frontend,projection mutation attempt,workspace button clicked,WorkspaceMutateAttempt,none,none,none,ui audit,projection_mutation_forbidden,reanchor required
SIMLIB-051,frontend,record shell open,authoritative record route,OpenRecordShell,none,none,none,ui telemetry,no_error,evidence panels visible
SIMLIB-052,frontend,disabled action reason,gate fail known,OpenRecordShell,none,none,none,ui telemetry,no_error,reason code displayed
SIMLIB-053,frontend,offline edit on released record,mobile offline,SaveOfflineCandidate,none,none,none,candidate log,offline_candidate_only,no mutation
SIMLIB-054,frontend,field redaction,shopfloor role,OpenPartyRecord,none,none,none,access log,no_error,sensitive fields hidden
SIMLIB-055,data_quality,bulk import duplicates,mixed source,ImportItemBatch,none,none,none,quality report,duplicate_detected,batch quarantined
SIMLIB-056,data_quality,missing mandatory field,import feed,ImportSupplierBatch,none,none,none,quality report,validation_error,row quarantined
SIMLIB-057,data_quality,expired supplier cert,receipt planned,ReceiveInventory,none,none,none,cert evidence,supplier_cert_expired,receipt blocked
SIMLIB-058,data_quality,stale controlled gap,owner overdue,ReviewGapLedger,none,none,none,governance report,no_error,escalation created
SIMLIB-059,planning,SO confirmed,package missing,ReleaseSalesOrderToProduction,none,none,none,gate audit,missing_release_member,SO blocked
SIMLIB-060,planning,JO created from wrong SO,SO only confirmed,CreateJobOrder,none,none,none,readiness audit,so_not_engineering_ready,JO blocked
