prompt_id,filename,title,mode,required_previous_token,unlock_token,domain,root,primary_outputs,critical_stop_rule
P00,prompts/P00_master_orchestrator_and_sequence_controller.md,"Master orchestrator, sequence gate controller, and no-guess execution constitution",PLANNING_AND_GOVERNANCE_ONLY,NONE,P00_PASS_READY_FOR_NEXT,platform_governance,MDA-SEQ,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P00_master_orchestrator_and_sequence_controller_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P01,prompts/P01_current_backend_authority_reality_audit.md,Current backend authority audit and repo reality map,PLANNING_AND_AUDIT_ONLY,P00_PASS_READY_FOR_NEXT,P01_PASS_WITH_CONTROLLED_GAPS,master_data + platform_backend,MDA-AUDIT,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P01_current_backend_authority_reality_audit_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P02,prompts/P02_global_benchmark_standards_to_executable_gates.md,"Global benchmark, standards, and executable-gate extraction",RESEARCH_AND_GOVERNANCE_ONLY,P01_PASS_WITH_CONTROLLED_GAPS,P02_PASS_READY_FOR_NEXT,benchmark + standards + architecture,MDA-BENCH,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P02_global_benchmark_standards_to_executable_gates_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P03,prompts/P03_master_data_authority_ledger_root_registry.md,"Master Data Authority Ledger, root registry, and operational truth graph v2",DESIGN_AND_LEDGER_ONLY,P02_PASS_READY_FOR_NEXT,P03_PASS_READY_FOR_NEXT,master_data + digital_thread,MDA-LEDGER,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P03_master_data_authority_ledger_root_registry_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P04,prompts/P04_canonical_schema_gap_map_and_migration_blueprint.md,"Canonical schema gap map, migration blueprint, and constraint strategy",DESIGN_ONLY,P03_PASS_READY_FOR_NEXT,P04_PASS_WITH_CONTROLLED_GAPS,platform_backend + database + master_data,MDA-SCHEMA,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P04_canonical_schema_gap_map_and_migration_blueprint_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P05,prompts/P05_uom_and_uom_conversion_authority.md,UOM and UOM conversion runtime authority,DESIGN_THEN_IMPLEMENTATION_PROMPT_BLUEPRINT,P04_PASS_WITH_CONTROLLED_GAPS,P05_PASS_WITH_CONTROLLED_GAPS,master_data + inventory_logistics + finance,UOM,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P05_uom_and_uom_conversion_authority_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P06,prompts/P06_item_material_part_revision_spec_authority.md,"Item, material, part number, revision, site, variant, specification, and traceability policy authority",DESIGN_AND_IMPLEMENTATION_BLUEPRINT,P05_PASS_WITH_CONTROLLED_GAPS,P06_PASS_WITH_CONTROLLED_GAPS,master_data + engineering_authority + inventory_logistics,ITEM + IREV,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P06_item_material_part_revision_spec_authority_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P07,prompts/P07_party_customer_supplier_employee_user_authority.md,"Party, customer, supplier, employee, operator, and user authority",DESIGN_AND_IMPLEMENTATION_BLUEPRINT,P06_PASS_WITH_CONTROLLED_GAPS,P07_PASS_WITH_CONTROLLED_GAPS,master_data + procurement_supplier_quality + sales + identity_access + hcm,CUST + SUP + USER + EMPLOYEE,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P07_party_customer_supplier_employee_user_authority_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P08,prompts/P08_engineering_bom_routing_control_inspection_release.md,"Engineering package authority: BOM, routing, operation, control plan, inspection plan, traveler, NC program release",DESIGN_AND_IMPLEMENTATION_BLUEPRINT,P07_PASS_WITH_CONTROLLED_GAPS,P08_PASS_WITH_CONTROLLED_GAPS,engineering_authority + mes_execution + quality_improvement,BOM + ROUTING + CP + IP + TRAVELER + NC,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P08_engineering_bom_routing_control_inspection_release_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P09,prompts/P09_equipment_machine_workcenter_connectivity_maintenance_calibration_authority.md,"Equipment, machine, work center, connectivity, maintenance, and calibration authority",DESIGN_AND_IMPLEMENTATION_BLUEPRINT,P08_PASS_WITH_CONTROLLED_GAPS,P09_PASS_WITH_CONTROLLED_GAPS,maintenance_ehs + mes_execution + master_data,EQP + WORK_CENTER + MACHINE + ADAPTER,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P09_equipment_machine_workcenter_connectivity_maintenance_calibration_authority_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P10,prompts/P10_tooling_fixture_gage_preset_life_assembly_authority.md,"Tooling, dao cụ, fixture, gage, preset, life, crib, and assembly authority",DESIGN_AND_IMPLEMENTATION_BLUEPRINT,P09_PASS_WITH_CONTROLLED_GAPS,P10_PASS_WITH_CONTROLLED_GAPS,tooling_control + mes_execution + quality_improvement + inventory_logistics,TOOL + FIXTURE + GAGE + TOOL_ASSEMBLY,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P10_tooling_fixture_gage_preset_life_assembly_authority_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P11,prompts/P11_warehouse_lot_serial_container_traceability_inventory_ledger.md,"Warehouse, location, lot, serial, container, inventory ledger, and traceability authority",DESIGN_AND_IMPLEMENTATION_BLUEPRINT,P10_PASS_WITH_CONTROLLED_GAPS,P11_PASS_WITH_CONTROLLED_GAPS,inventory_logistics + traceability_serialization + finance,LOCATION + LOT + SERIAL + CONTAINER,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P11_warehouse_lot_serial_container_traceability_inventory_ledger_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P12,prompts/P12_quality_holds_ncr_mrb_capa_supplier_customer_quality_authority.md,"Quality authority: holds, NCR/NQCASE, MRB, CAPA, supplier/customer quality, defect catalogs, SPC gates",DESIGN_AND_IMPLEMENTATION_BLUEPRINT,P11_PASS_WITH_CONTROLLED_GAPS,P12_PASS_WITH_CONTROLLED_GAPS,quality_improvement + eQMS + supplier_quality + customer_quality,HOLD + NQCASE + CAPA + INSP,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P12_quality_holds_ncr_mrb_capa_supplier_customer_quality_authority_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P13,prompts/P13_command_bus_idempotency_problem_details_contracts.md,"Domain command bus, idempotency, OpenAPI contracts, problem details, and outbox/event authority",DESIGN_AND_IMPLEMENTATION_BLUEPRINT,P12_PASS_WITH_CONTROLLED_GAPS,P13_PASS_WITH_CONTROLLED_GAPS,platform_backend + integration,COMMAND + API + EVENT,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P13_command_bus_idempotency_problem_details_contracts_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P14,prompts/P14_workflow_approval_evidence_esign_audit_authority.md,"Workflow, status, approval, evidence, audit trail, and e-signature authority",DESIGN_AND_IMPLEMENTATION_BLUEPRINT,P13_PASS_WITH_CONTROLLED_GAPS,P14_PASS_WITH_CONTROLLED_GAPS,workflow + eQMS + identity_access,WORKFLOW + EVIDENCE + ESIGN + AUDIT,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P14_workflow_approval_evidence_esign_audit_authority_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P15,prompts/P15_operational_gates_so_jo_wo_po_iqc_oqc_shipment_finance.md,"Operational release gates across SO, JO, WO, PO, IQC, OQC, shipment, maintenance, and finance",DESIGN_AND_IMPLEMENTATION_BLUEPRINT,P14_PASS_WITH_CONTROLLED_GAPS,P15_PASS_WITH_CONTROLLED_GAPS,planning_production + procurement + quality + inventory + finance,OPS-GATES,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P15_operational_gates_so_jo_wo_po_iqc_oqc_shipment_finance_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P16,prompts/P16_mes_edge_machine_event_readiness_oee.md,"MES runtime, edge events, machine data, OEE, offline sync, and connected-worker readiness",DESIGN_AND_IMPLEMENTATION_BLUEPRINT,P15_PASS_WITH_CONTROLLED_GAPS,P16_PASS_WITH_CONTROLLED_GAPS,mes_execution + connected_worker + event_integration,MES-RUNTIME + MDEV,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P16_mes_edge_machine_event_readiness_oee_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P17,prompts/P17_digital_thread_genealogy_release_packet_dpp.md,"Digital thread, genealogy, release packet, trusted record, DPP/CoC/CoA, and recall authority",DESIGN_AND_IMPLEMENTATION_BLUEPRINT,P16_PASS_WITH_CONTROLLED_GAPS,P17_PASS_WITH_CONTROLLED_GAPS,digital_thread + traceability_serialization + quality + customer_delivery,DIGITAL-THREAD,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P17_digital_thread_genealogy_release_packet_dpp_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P18,prompts/P18_security_rbac_sod_privacy_ot_ai_boundary.md,"Security, RBAC, SoD, privacy, OT boundary, and AI governance",DESIGN_AND_IMPLEMENTATION_BLUEPRINT,P17_PASS_WITH_CONTROLLED_GAPS,P18_PASS_WITH_CONTROLLED_GAPS,security + identity_access + ai_governance + ot,SECURITY-AI-OT,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P18_security_rbac_sod_privacy_ot_ai_boundary_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P19,prompts/P19_frontend_ar_workspace_projection_route_gating.md,"Frontend authoritative record shells, workspace projections, route grammar, and action gating",DESIGN_AND_IMPLEMENTATION_BLUEPRINT,P18_PASS_WITH_CONTROLLED_GAPS,P19_PASS_WITH_CONTROLLED_GAPS,frontend + ux + authority,AR + WS,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P19_frontend_ar_workspace_projection_route_gating_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P20,prompts/P20_json_postgresql_migration_reconciliation_cutover_rollback.md,"JSON to PostgreSQL migration, shadow sync, reconciliation, cutover, fallback, and rollback",DESIGN_AND_IMPLEMENTATION_BLUEPRINT,P19_PASS_WITH_CONTROLLED_GAPS,P20_PASS_WITH_CONTROLLED_GAPS,platform_backend + data_migration + sre,MIGRATION-CUTOVER,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P20_json_postgresql_migration_reconciliation_cutover_rollback_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P21,prompts/P21_data_quality_duplicate_stewardship_mdm_operating_model.md,"Data quality, duplicate detection, stewardship workflow, MDM operating model",DESIGN_AND_IMPLEMENTATION_BLUEPRINT,P20_PASS_WITH_CONTROLLED_GAPS,P21_PASS_READY_FOR_NEXT,data_governance + master_data,DATA-QUALITY,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P21_data_quality_duplicate_stewardship_mdm_operating_model_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P22,prompts/P22_observability_sre_control_tower_runtime_assurance.md,"Observability, SRE, data-quality control tower, runtime assurance, and runbooks",DESIGN_AND_IMPLEMENTATION_BLUEPRINT,P21_PASS_READY_FOR_NEXT,P22_PASS_READY_FOR_NEXT,sre + observability + analytics,OBSERVABILITY,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P22_observability_sre_control_tower_runtime_assurance_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P23,prompts/P23_scenario_dsl_automation_harness.md,"Scenario DSL, automation harness, simulation library, regression matrix",DESIGN_AND_IMPLEMENTATION_BLUEPRINT,P22_PASS_READY_FOR_NEXT,P23_PASS_READY_FOR_NEXT,qa_automation + simulation,SCENARIO-DSL,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P23_scenario_dsl_automation_harness_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P24,prompts/P24_validation_regulated_qms_package.md,"Validation, regulated eQMS package, traceability matrix, Part 11/Annex 11/GAMP applicability",DESIGN_AND_GOVERNANCE_ONLY,P23_PASS_READY_FOR_NEXT,P24_PASS_READY_FOR_NEXT,validation + eQMS + regulatory,VALIDATION,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P24_validation_regulated_qms_package_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P25,prompts/P25_performance_scale_multisite_multitenant_localization.md,"Performance, scale, multi-site, multi-tenant, localization, and vertical-pack readiness",DESIGN_AND_ARCHITECTURE_ONLY,P24_PASS_READY_FOR_NEXT,P25_PASS_READY_FOR_NEXT,platform_architecture + productization,SCALE-PRODUCT,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P25_performance_scale_multisite_multitenant_localization_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
P26,prompts/P26_backlog_roadmap_release_train_team_model.md,"Master implementation backlog, wave roadmap, release train, team ownership, and capacity model",SYNTHESIS_AND_PLANNING_ONLY,P25_PASS_READY_FOR_NEXT,P26_PASS_READY_FOR_NEXT,portfolio_governance + release_train,ROADMAP,_reports/agent-audits/mda-prompt-os-v2-2026-05-30/P26_backlog_roadmap_release_train_team_model_MAIN.md plus audit/matrix/simulation/review/gap/verify/handoff,Do not unlock next prompt unless no P0/P1 remains and decision token is accepted.
