canonical_code,metric_type,current_calculation_status,recommended_calculation_status,has_engine_constant,has_calc_function,calc_function_name,source_tables_verified,source_columns_verified,min_sample_required,empty_period_behavior,manual_input_needed,migration_needed,dashboard_endpoint_needed,snapshot_needed,priority,where_found,source_tables,missing_tables,source_columns
BCP_READINESS,kpi,manual_governed,manual_governed_with_approver_evidence,no,no,,no,no,yes,grey_no_manual_input_via_kpi_manual_inputs,yes,yes,no,no,P2,annex122_governance_kpis|jd_kpi_scorecards,role_backup_certifications,role_backup_certifications,function_code|has_deputy|last_review_date
BOTTLENECK_BUFFER_STATUS,operating_metric,staged_data_contract,staged_data_contract,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,yes,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
CAL_COMPLIANCE,kpi,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcCalCompliance,yes,migration_text_hit,yes,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics|annex122_governance_kpis|jd_kpi_scorecards,equipment|calibration_records,,calibration_due|calibration_date|is_active
CAPA_CLOSURE,metric,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcCapaClosure,yes,engine_query_only,no,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics,capa_records,,
CAPA_EFFECTIVENESS,kpi,staged_data_contract,staged_data_contract_until_columns_and_calc_verified,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,yes,no,P0,executive_scorecard|proposed_operating_metrics|jd_kpi_scorecards|scorecard_evidence_contracts|metric_governance_overrides,,,
CHANGEOVER_TIME,gate_control_metric,staged_data_contract,staged_data_contract,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,gate_control_metrics|jd_kpi_scorecards,,,
COMPLAINT_RATE,kpi,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcComplaintRate,yes,migration_text_hit,yes,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics|annex122_governance_kpis|executive_scorecard|jd_kpi_scorecards|scorecard_evidence_contracts|metric_governance_overrides,ncr_records|records|shipments,,nonconformance_source|created_at|ship_date|shipment_status
CONSTRAINT_LOST_HOURS,operating_metric,staged_data_contract,staged_data_contract_until_columns_and_calc_verified,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,yes,P1,proposed_operating_metrics,,,
CONTROL_PLAN_PFMEA_APPROVAL,gate_control_metric,staged_data_contract,staged_data_contract,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,gate_control_metrics|jd_kpi_scorecards,,,
COPQ,kpi,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcCopq,yes,engine_query_only,no,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics|executive_scorecard|gate_control_metrics|jd_kpi_scorecards|scorecard_evidence_contracts|metric_governance_overrides,ncr_records|records,,
CRITICAL_ROLE_BACKUP_COVERAGE,kpi,staged_data_contract,staged_data_contract,no,no,,no,partial,yes,grey_no_manual_input_via_kpi_manual_inputs,yes,yes,no,no,P1,annex122_governance_kpis|jd_kpi_scorecards,role_backup_certifications,role_backup_certifications,role_code|backup_employee_id|certified_at|expires_at
CRITICAL_ROLE_CERT_COVERAGE,kpi,staged_data_contract,staged_data_contract_until_columns_and_calc_verified,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,yes,no,P0,executive_scorecard|proposed_operating_metrics|jd_kpi_scorecards|scorecard_evidence_contracts|metric_governance_overrides,,,
CRITICAL_SYSTEM_AVAILABILITY,kpi,staged_data_contract,staged_data_contract,no,no,,no,partial,yes,grey_no_manual_input_via_kpi_manual_inputs,yes,yes,no,no,P1,annex122_governance_kpis|jd_kpi_scorecards,system_uptime_logs,system_uptime_logs,system_code|downtime_minutes
