term,canonical,occurrences,files,in_glossary,sample_files
"A1","A1",2,2,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-16.html | 10-Training-Academy\03-System-Operations\02-Training-Ops\TRN-OPS-05.html"
"A2","A2",3,2,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-16.html | 10-Training-Academy\03-System-Operations\02-Training-Ops\TRN-OPS-05.html"
"A3","A3",66,36,true,"02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-engineering-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\02-JD-Production\jd-maintenance-technician.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\02-JD-Production\jd-production-engineer-industrial-engineer.html"
"A4","A4",31,31,false,"10-Training-Academy\01-Competency-System\02-Levels\06-C06-Problem-Solving-RCA\C06-L1.html | 10-Training-Academy\01-Competency-System\02-Levels\06-C06-Problem-Solving-RCA\C06-L2.html | 10-Training-Academy\01-Competency-System\02-Levels\06-C06-Problem-Solving-RCA\C06-L3.html"
"A5","A5",2,2,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-16.html | 10-Training-Academy\03-System-Operations\02-Training-Ops\TRN-OPS-05.html"
"A6","A6",2,2,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-16.html | 10-Training-Academy\03-System-Operations\02-Training-Ops\TRN-OPS-05.html"
"AAR","AAR",12,2,false,"10-Training-Academy\01-Competency-System\02-Levels\04-C04-Cross-Dept-Communication\C04-L3.html | 10-Training-Academy\01-Competency-System\02-Levels\04-C04-Cross-Dept-Communication\C04-L4.html"
"ABC","ABC",21,5,false,"03-Tai-Lieu-Van-Hanh\02-Work-Instructions\02-WI-200\wi-203-job-dossier-evidence-pack-and-record-completeness.html | 10-Training-Academy\01-Competency-System\02-Levels\12-C12-Estimating-Costing\C12-L1.html | 10-Training-Academy\01-Competency-System\02-Levels\12-C12-Estimating-Costing\C12-L2.html"
"ACK","ACK",16,2,false,"03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-107-communication-management.html | 03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-202-customer-complaint-feedback-rma-and-escape.html"
"ALCOA","ALCOA",52,31,false,"10-Training-Academy\01-Competency-System\02-Levels\02-C02-Process-Discipline\C02-L1.html | 10-Training-Academy\01-Competency-System\02-Levels\02-C02-Process-Discipline\C02-L2.html | 10-Training-Academy\01-Competency-System\02-Levels\06-C06-Problem-Solving-RCA\C06-L1.html"
"ALL","ALL",4,1,false,"10-Training-Academy\01-Competency-System\01-Framework\competency-framework.html"
"ALM","ALM",3,1,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-10.html"
"AMBER","AMBER",5,3,false,"10-Training-Academy\01-Competency-System\02-Levels\09-C09-Time-Management\C09-L1.html | 10-Training-Academy\01-Competency-System\02-Levels\09-C09-Time-Management\C09-L2.html | 10-Training-Academy\01-Competency-System\02-Levels\09-C09-Time-Management\C09-L3.html"
"AML","AML",26,4,true,"03-Tai-Lieu-Van-Hanh\01-SOPs\04-SOP-400\sop-401-supplier-control-and-special-process.html | 03-Tai-Lieu-Van-Hanh\01-SOPs\04-SOP-400\sop-402-material-verification-traceability-and-counterfeit-prevention.html | 03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-300\annex-302-approved-materials-list.html"
"ANNEX","ANNEX",152,104,false,"02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html | 02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-ehs-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-engineering-handbook.html"
"AP","AP",55,10,true,"02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-finance-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\02-JD-Production\jd-production-planner.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\05-JD-Supply-Chain\jd-logistics-shipping-coordinator.html"
"APAR","APAR",2,1,false,"03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-120-authority-matrix.html"
"APL","APL",17,2,false,"03-Tai-Lieu-Van-Hanh\03-Reference\04-ANNEX-400\annex-403-approved-processor-list.html | 03-Tai-Lieu-Van-Hanh\03-Reference\06-ANNEX-600\annex-608-semi-standards-and-csr-matrix.html"
"AQL","AQL",60,15,true,"02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\04-JD-Quality\jd-metrology-and-calibration-specialist.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\04-JD-Quality\jd-qa-manager.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\04-JD-Quality\jd-qc-inspector-cmm-programmer-operator.html"
"AR","AR",67,14,true,"02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-finance-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\02-JD-Production\jd-production-planner.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\05-JD-Supply-Chain\jd-logistics-shipping-coordinator.html"
"AS9100D","AS9100D",5,5,true,"03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-102-quality-policy-objectives-and-organizational-context.html | 03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-202-customer-complaint-feedback-rma-and-escape.html | 03-Tai-Lieu-Van-Hanh\01-SOPs\03-SOP-300\sop-302-first-article-inspection-fai.html"
"AS9102","AS9102",7,3,true,"03-Tai-Lieu-Van-Hanh\01-SOPs\03-SOP-300\sop-302-first-article-inspection-fai.html | 10-Training-Academy\01-Competency-System\01-Framework\assessment-matrix.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-20.html"
"ASCII","ASCII",2,1,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-28.html"
"ASD","ASD",3,2,false,"03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-104-data-governance-records-security-and-ip-protection.html | 03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-202-customer-complaint-feedback-rma-and-escape.html"
"ASL","ASL",7,1,true,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-21.html"
"ASME","ASME",2,1,false,"10-Training-Academy\02-Training-Content\01-Modules\C14.html"
"ASTM","ASTM",2,1,false,"03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-300\annex-302-approved-materials-list.html"
"AVL","AVL",9,4,true,"03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-105-process-map-detailed.html | 10-Training-Academy\01-Competency-System\02-Levels\18-C18-Supply-Chain\C18-L4.html | 10-Training-Academy\02-Training-Content\02-OJT-Guides\ojt-role-purchasing.html"
"B1","B1",24,24,false,"03-Tai-Lieu-Van-Hanh\03-Reference\06-ANNEX-600\annex-601-aql-method-reference.html | 10-Training-Academy\01-Competency-System\01-Framework\competency-assessment-guide.html | 10-Training-Academy\01-Competency-System\02-Levels\18-C18-Supply-Chain\C18-L1.html"
"B2","B2",24,24,false,"03-Tai-Lieu-Van-Hanh\03-Reference\06-ANNEX-600\annex-601-aql-method-reference.html | 10-Training-Academy\01-Competency-System\01-Framework\competency-assessment-guide.html | 10-Training-Academy\01-Competency-System\02-Levels\18-C18-Supply-Chain\C18-L1.html"
"B2B","B2B",15,7,false,"02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\05-JD-Supply-Chain\jd-logistics-shipping-coordinator.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\06-JD-Sales\jd-customer-service.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\06-JD-Sales\jd-estimator.html"
"B3","B3",24,23,false,"03-Tai-Lieu-Van-Hanh\03-Reference\06-ANNEX-600\annex-601-aql-method-reference.html | 10-Training-Academy\01-Competency-System\01-Framework\competency-assessment-guide.html | 10-Training-Academy\01-Competency-System\02-Levels\18-C18-Supply-Chain\C18-L1.html"
"B4","B4",24,24,false,"03-Tai-Lieu-Van-Hanh\03-Reference\06-ANNEX-600\annex-601-aql-method-reference.html | 10-Training-Academy\01-Competency-System\01-Framework\competency-assessment-guide.html | 10-Training-Academy\01-Competency-System\02-Levels\18-C18-Supply-Chain\C18-L1.html"
"B5","B5",21,21,false,"03-Tai-Lieu-Van-Hanh\03-Reference\06-ANNEX-600\annex-601-aql-method-reference.html | 10-Training-Academy\01-Competency-System\01-Framework\competency-assessment-guide.html | 10-Training-Academy\01-Competency-System\02-Levels\18-C18-Supply-Chain\C18-L1.html"
"B6","B6",21,21,false,"10-Training-Academy\01-Competency-System\01-Framework\competency-assessment-guide.html | 10-Training-Academy\01-Competency-System\02-Levels\18-C18-Supply-Chain\C18-L2.html | 10-Training-Academy\02-Training-Content\01-Modules\C01.html"
"BAQ","BAQ",11,6,false,"02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-epicor-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\10-JD-IT\jd-epicor-system-administrator.html | 03-Tai-Lieu-Van-Hanh\02-Work-Instructions\09-WI-900\wi-901-performance-dashboard.html"
"BCP","BCP",6,2,true,"03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-116-m365-folder-structure-blueprint.html | 10-Training-Academy\01-Competency-System\02-Levels\18-C18-Supply-Chain\C18-L4.html"
"BD","BD",4,4,true,"10-Training-Academy\01-Competency-System\02-Levels\11-C11-Sales-Contract-Review\C11-L1.html | 10-Training-Academy\01-Competency-System\02-Levels\11-C11-Sales-Contract-Review\C11-L2.html | 10-Training-Academy\01-Competency-System\02-Levels\11-C11-Sales-Contract-Review\C11-L3.html"
"BHTN","BHTN",3,1,false,"03-Tai-Lieu-Van-Hanh\03-Reference\08-ANNEX-800\annex-802-collective-bargaining-agreement.html"
"BHXH","BHXH",13,4,false,"02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\07-JD-Finance\jd-general-ledger-and-payroll-accountant.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\08-JD-HR\jd-hr-manager.html | 03-Tai-Lieu-Van-Hanh\03-Reference\08-ANNEX-800\annex-802-collective-bargaining-agreement.html"
"BLACK","BLACK",19,7,false,"10-Training-Academy\01-Competency-System\02-Levels\08-C08-Data-Driven-ERP\C08-L2.html | 10-Training-Academy\01-Competency-System\02-Levels\08-C08-Data-Driven-ERP\C08-L3.html | 10-Training-Academy\01-Competency-System\02-Levels\08-C08-Data-Driven-ERP\C08-L4.html"
"BLOCK","BLOCK",388,75,false,"03-Tai-Lieu-Van-Hanh\02-Work-Instructions\02-WI-200\wi-207-high-risk-job-readiness-control-tower.html | 03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-300\annex-302-approved-materials-list.html | 03-Tai-Lieu-Van-Hanh\03-Reference\04-ANNEX-400\annex-403-approved-processor-list.html"
"BLOCKED","BLOCKED",37,6,false,"03-Tai-Lieu-Van-Hanh\02-Work-Instructions\02-WI-200\wi-207-high-risk-job-readiness-control-tower.html | 03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-300\annex-302-approved-materials-list.html | 03-Tai-Lieu-Van-Hanh\03-Reference\07-ANNEX-700\annex-701-gs1-sscc-data-dictionary-and-pack-reconciliation.html"
"BOM","BOM",18,13,true,"03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-201-order-fulfillment-rfq-to-cash.html | 03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-300\annex-302-approved-materials-list.html | 03-Tai-Lieu-Van-Hanh\03-Reference\06-ANNEX-600\annex-606-surface-finish-vacuum-compatibility.html"
"BUY","BUY",2,1,false,"03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-120-authority-matrix.html"
"C1","C1",10,3,false,"03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-202-customer-complaint-feedback-rma-and-escape.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-10.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-19.html"
"C2","C2",3,2,false,"03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-202-customer-complaint-feedback-rma-and-escape.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-10.html"
"C3","C3",5,3,false,"03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-202-customer-complaint-feedback-rma-and-escape.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-10.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-19.html"
"C4","C4",4,2,false,"03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-202-customer-complaint-feedback-rma-and-escape.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-10.html"
"C8","C8",2,1,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-10.html"
"CAL","CAL",7,3,false,"02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\04-JD-Quality\jd-metrology-and-calibration-specialist.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\04-JD-Quality\jd-qc-inspector-cmm-programmer-operator.html | 03-Tai-Lieu-Van-Hanh\02-Work-Instructions\06-WI-600\wi-602-gage-pre-use-verification-and-status-control.html"
"CAM","CAM",161,49,true,"02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html | 02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-engineering-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-quality-handbook.html"
"CAPA","CAPA",713,151,true,"02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html | 02-Tai-Lieu-He-Thong\02-Policies-Objectives\pol-qms-001-quality-policy.html | 02-Tai-Lieu-He-Thong\02-Policies-Objectives\pol-qms-002-quality-objectives.html"
