root_code,mutation_authority,allowed_command_examples,generic_crud_allowed_for_read,generic_crud_allowed_for_mutation,remaining_runtime_gap,severity_after_p26
MDA-FOUNDATION-MEASUREMENT,"MOM\Services\UomAuthorityService","createUom;approveUom;retireUom;createConversion;approveConversion",yes,no,"Downstream item/BOM/PO/SO quantity paths still need UOM service integration",P1
MDA-PARTY-IDENTITY,"Party/MasterData command service plus AuthUserShadowSyncService","party_create;party_approve;admin_user_upsert;admin_user_deactivate",yes,no,"Party master command service is not fully physicalized; identity writes remain SSOT-governed by existing AuthUserShadowSyncService",P1
MDA-ITEM-REVISION-SPEC,"ItemMaster command service","item_create;revision_create;revision_release;site_assignment_approve;spec_revision_release",yes,no,"Dedicated ItemMaster command service/runtime tests still required",P0
MDA-ENGINEERING-RELEASE,"EngineeringReleasePackage command service","engineering_package_draft;engineering_package_validate;engineering_package_release;engineering_package_supersede",yes,no,"Engineering release package physicalization is still P30 work",P0
MDA-EQUIPMENT-RESOURCE,"EquipmentResource command service","equipment_register;equipment_release;maintenance_close;calibration_record_result;resource_status_change",yes,no,"Resource readiness integration remains P34 work",P1
MDA-TOOLING,"Tooling command service","tool_register;tool_assembly_release;tool_life_post;tool_retire",yes,no,"Tool life/preset authority remains partially projection-backed",P1
MDA-QUALITY-CASE,"QualityCase command service","quality_hold_place;quality_hold_release;ncr_open;mrb_disposition;capa_approve;complaint_close;scar_issue",yes,no,"Canonical hold/NCR/MRB/CAPA physical runtime remains P33 work",P0
MDA-INVENTORY-TRACE-COST,"InventoryMovement/Ledger command service","inventory_receive;inventory_issue;inventory_adjust;lot_hold;serial_genealogy_link;wip_move;cost_post",yes,no,"Ledger-only inventory/cost reconciliation remains P36 work",P0
MDA-COMMERCIAL-EXECUTION,"Order/WorkOrder command services","sales_order_release;job_order_release;work_order_release;work_order_start;purchase_order_approve;shipment_release",yes,no,"WO release/start still needs ResourceReadinessService gate integration",P0
MDA-MES-RUNTIME,"ResourceReadinessService plus MES runtime command service","resource_readiness_evaluate;job_start;operation_report;material_consume;machine_event_record;downtime_record",yes,no,"MES runtime event spine remains P34 work",P0
MDA-WORKFLOW-AUDIT-EVIDENCE,"Workflow/Evidence/E-signature command spine","workflow_transition;approval_record;e_signature_apply;evidence_attach;audit_append;outbox_publish",yes,no,"Generated workflow/e-sign/audit spine remains P32 work",P0
MDA-FINANCE-PERIOD,"Finance posting and period close command service","invoice_post;cost_rollup_release;period_close;backdate_exception_approve",yes,no,"Finance posting commands and period lock enforcement need later runtime hardening",P1
