prompt_id,main_token,handoff_token,decision_log_token,normalized_token,parity_status,notes
P00,P00_PASS_READY_FOR_NEXT,P00_PASS_READY_FOR_NEXT,P00_PASS_READY_FOR_NEXT,P00_PASS_READY_FOR_NEXT,pass,"orchestrator artifact complete and normalized"
P01,P01_PASS_WITH_CONTROLLED_GAPS,P01_PASS_WITH_CONTROLLED_GAPS,P01_PASS_WITH_CONTROLLED_GAPS,P01_PASS_WITH_CONTROLLED_GAPS,pass,"historical repair-cycle token exists but final token is pass with controlled gaps"
P02,P02_PASS_WITH_CONTROLLED_GAPS,P02_PASS_WITH_CONTROLLED_GAPS,P02_PASS_WITH_CONTROLLED_GAPS,P02_PASS_WITH_CONTROLLED_GAPS,pass,"references to P00/P01 tokens are historical context, not active P02 decisions"
P03,P03_PASS_WITH_CONTROLLED_GAPS,P03_PASS_WITH_CONTROLLED_GAPS,P03_PASS_WITH_CONTROLLED_GAPS,P03_PASS_WITH_CONTROLLED_GAPS,pass,"canonical taxonomy design artifact complete"
P04,P04_PASS_WITH_CONTROLLED_GAPS,P04_PASS_WITH_CONTROLLED_GAPS,P04_PASS_WITH_CONTROLLED_GAPS,P04_PASS_WITH_CONTROLLED_GAPS,pass,"postgres authority blueprint remains design-level"
P05,P05_PASS_WITH_CONTROLLED_GAPS,P05_PASS_WITH_CONTROLLED_GAPS,P05_PASS_WITH_CONTROLLED_GAPS,P05_PASS_WITH_CONTROLLED_GAPS,pass,"party authority design artifact complete"
P06,P06_PASS_WITH_CONTROLLED_GAPS,P06_PASS_WITH_CONTROLLED_GAPS,P06_PASS_WITH_CONTROLLED_GAPS,P06_PASS_WITH_CONTROLLED_GAPS,pass,"item authority design artifact complete"
P07,P07_PASS_WITH_CONTROLLED_GAPS,P07_PASS_WITH_CONTROLLED_GAPS,P07_PASS_WITH_CONTROLLED_GAPS,P07_PASS_WITH_CONTROLLED_GAPS,pass,"engineering definition design artifact complete"
P08,P08_PASS_WITH_CONTROLLED_GAPS,P08_PASS_WITH_CONTROLLED_GAPS,P08_PASS_WITH_CONTROLLED_GAPS,P08_PASS_WITH_CONTROLLED_GAPS,pass,"handoff packet present after prior repair"
P09,P09_PASS_WITH_CONTROLLED_GAPS,P09_PASS_WITH_CONTROLLED_GAPS,P09_PASS_WITH_CONTROLLED_GAPS,P09_PASS_WITH_CONTROLLED_GAPS,pass,"handoff packet present after prior repair"
P10,P10_PASS_WITH_CONTROLLED_GAPS,P10_PASS_WITH_CONTROLLED_GAPS,P10_PASS_WITH_CONTROLLED_GAPS,P10_PASS_WITH_CONTROLLED_GAPS,pass,"handoff packet present after prior repair"
P11,P11_PASS_WITH_CONTROLLED_GAPS,P11_PASS_WITH_CONTROLLED_GAPS,P11_PASS_WITH_CONTROLLED_GAPS,P11_PASS_WITH_CONTROLLED_GAPS,pass,"inventory design artifact complete"
P12,P12_PASS_WITH_CONTROLLED_GAPS,P12_PASS_WITH_CONTROLLED_GAPS,P12_PASS_WITH_CONTROLLED_GAPS,P12_PASS_WITH_CONTROLLED_GAPS,pass,"command service design artifact complete"
P13,P13_PASS_WITH_CONTROLLED_GAPS,P13_PASS_WITH_CONTROLLED_GAPS,P13_PASS_WITH_CONTROLLED_GAPS,P13_PASS_WITH_CONTROLLED_GAPS,pass,"workflow/e-sign design artifact complete"
P14,P14_PASS_WITH_CONTROLLED_GAPS,P14_PASS_WITH_CONTROLLED_GAPS,P14_PASS_WITH_CONTROLLED_GAPS,P14_PASS_WITH_CONTROLLED_GAPS,pass,"MES runtime simulation design artifact complete"
P15,P15_PASS_WITH_CONTROLLED_GAPS,P15_PASS_WITH_CONTROLLED_GAPS,P15_PASS_WITH_CONTROLLED_GAPS,P15_PASS_WITH_CONTROLLED_GAPS,pass,"migration/cutover design artifact complete"
P16,P16_PASS_WITH_CONTROLLED_GAPS,P16_PASS_WITH_CONTROLLED_GAPS,P16_PASS_WITH_CONTROLLED_GAPS,P16_PASS_WITH_CONTROLLED_GAPS,pass,"security governance design artifact complete"
P17,P17_PASS_WITH_CONTROLLED_GAPS,P17_PASS_WITH_CONTROLLED_GAPS,P17_PASS_WITH_CONTROLLED_GAPS,P17_PASS_WITH_CONTROLLED_GAPS,pass,"observability design artifact complete"
P18,P18_PASS_WITH_CONTROLLED_GAPS,P18_PASS_WITH_CONTROLLED_GAPS,P18_PASS_WITH_CONTROLLED_GAPS,P18_PASS_WITH_CONTROLLED_GAPS,pass,"frontend UX contract design artifact complete"
P19,P19_PASS_WITH_CONTROLLED_GAPS,P19_PASS_WITH_CONTROLLED_GAPS,P19_PASS_WITH_CONTROLLED_GAPS,P19_PASS_WITH_CONTROLLED_GAPS,pass,"scenario simulator design artifact complete"
P20,P20_PASS_WITH_CONTROLLED_GAPS,P20_PASS_WITH_CONTROLLED_GAPS,P20_PASS_WITH_CONTROLLED_GAPS,P20_PASS_WITH_CONTROLLED_GAPS,pass,"final synthesis design artifact complete"
P21,P21_PASS_WITH_CONTROLLED_GAPS,P21_PASS_WITH_CONTROLLED_GAPS,P21_PASS_WITH_CONTROLLED_GAPS,P21_PASS_WITH_CONTROLLED_GAPS,pass,"external red-team repair and resynthesis complete"
