blocker_id,gap_id,severity,owner_prompt,domain,dependent_prompts,acceptance_criterion,temporary_exception,expiry_rule,status
P23-P0-001,GAP-P01-001,P0,P27,master_data,P24 P25 P26 P27,master data commands use PostgreSQL authority or verified bridge,none,no P0 exception allowed,open
P23-P0-002,GAP-P01-002,P0,P27,master_data,P24 P27,authorityProbe no longer reports compatibility_only,none,no P0 exception allowed,open
P23-P0-003,GAP-P01-004,P0,P26,cross_domain,P24 P26 P31,all governed mutations execute only through command APIs,none,no P0 exception allowed,open
P23-P0-004,GAP-P01-005,P0,P25,master_data,P24 P25 P27,UOM records have lifecycle command sync and validation coverage,none,no P0 exception allowed,open
P23-P0-005,GAP-P01-006,P0,P33,quality_authority,P24 P33 P36,shipment and putaway gates read one governed hold authority,none,no P0 exception allowed,open
P23-P0-006,GAP-P03-003,P0,P30,engineering_authority,P24 P30,released engineering authority physically modeled,none,no P0 exception allowed,open
P23-P0-007,GAP-P04-002,P0,P30,engineering_authority,P24 P30,engineering release package root and member tables exist,none,no P0 exception allowed,open
P23-P0-008,GAP-P06-003,P0,P25,platform_backend,P24 P25 P27,item commands consume one governed UOM source,none,no P0 exception allowed,open
P23-P0-009,GAP-P07-001,P0,P30,engineering_authority,P24 P30,SO JO WO release read one package authority,none,no P0 exception allowed,open
P23-P0-010,GAP-P07-002,P0,P27,platform_backend,P24 P27 P30,release verification reads PostgreSQL authority without JSON primary fallback,none,no P0 exception allowed,open
P23-P0-011,GAP-P08-001,P0,P34,mes_execution,P24 P34,governed releases and starts use one readiness chain,none,no P0 exception allowed,open
P23-P0-012,GAP-P10-001,P0,P33,quality_authority,P24 P33 P36,all movements and releases read one governed hold chain,none,no P0 exception allowed,open
P23-P0-013,GAP-P11-001,P0,P36,inventory_logistics_finance_inventory,P24 P36,ledger and cost parity checks block close and cutover,none,no P0 exception allowed,open
P23-P0-014,GAP-P12-001,P0,P31,platform_backend,P24 P26 P31,all governed mutations resolve to command APIs only,none,no P0 exception allowed,open
P23-P0-015,GAP-P14-001,P0,P34,mes_execution,P24 P34,start and release commands call one readiness chain,none,no P0 exception allowed,open
P23-P1-001,GAP-P01-003,P1,P27,master_data,P24 P27,all required collections round trip and drift check clean,controlled only outside cutover,expires before POSTGRES_PRIMARY,open
P23-P1-002,GAP-P03-001,P1,P27,master_data,P24 P27,party role model mapped without data loss,controlled for planning only,expires before master-data preproduction,open
P23-P1-003,GAP-P03-002,P1,P31,identity_user,P24 P31,no duplicate person mutation lanes remain,controlled for nonregulated planning only,expires before regulated-mode claim,open
P23-P1-004,GAP-P04-001,P1,P31,identity_user,P24 P31,identity writes use one canonical chain,controlled for nonregulated planning only,expires before e-sign runtime,open
P23-P1-005,GAP-P04-003,P1,P30,master_data,P24 P30,approval objects no longer depend on JSON-only collections,controlled for design only,expires before engineering release package runtime,open
P23-P1-006,GAP-P04-004,P1,P31,platform_backend,P24 P31,lifecycle owners expose row version and actor lineage,controlled for design only,expires before command runtime proof,open
P23-P1-007,GAP-P05-001,P1,P31,identity_user,P24 P31,user party relationship has authoritative chain,controlled for nonregulated planning only,expires before regulated commands,open
P23-P1-008,GAP-P05-002,P1,P34,manufacturing_operations,P24 P34,start gate reads one governed qualification chain,controlled for non-MES planning only,expires before MES runtime claim,open
P23-P1-009,GAP-P05-003,P1,P27,master_data,P24 P27,commercial and supplier gates avoid implicit metadata,controlled for design only,expires before release gates,open
P23-P1-010,GAP-P05-004,P1,P31,master_data,P24 P31,party merge is replay safe and lineage preserving,controlled for no-merge operations only,expires before duplicate merge command,open
P23-P1-011,GAP-P05-005,P1,P32,security_iam,P24 P32 P39,regulated paths reject missing MFA and record challenge evidence,P32 evidence gate and P39 privileged reauth evaluator block missing/replayed challenge at service level; command middleware persistence pending,expires before regulated-mode claim,partially_repaired
P23-P1-012,GAP-P06-001,P1,P27,engineering_authority,P24 P27,runtime no longer guesses between item identifiers,controlled for design only,expires before item runtime authority,open
P23-P1-013,GAP-P06-002,P1,P30,engineering_authority,P24 P30,item release and shipment PO gates read explicit approval objects,controlled for design only,expires before release package runtime,open
P23-P1-014,GAP-P06-004,P1,P27,planning_production,P24 P27,item header no longer owns local operational settings,controlled for design only,expires before planning runtime claim,open
P23-P1-015,GAP-P06-005,P1,P32,security_iam,P24 P32,release commands enforce MFA SoD and replay safety,controlled for nonregulated planning only,expires before regulated release,open
P23-P1-016,GAP-P07-003,P1,P30,quality_authority,P24 P30,inspection gates read one characteristic and sampling authority,controlled for design only,expires before inspection plan release runtime,open
