legacy_collection,legacy_key,target_table_or_object,mapping,required_fields,status_map,owner,migration_mode
customers,customer_id,party_customer_profile,customer to party plus customer role profile,customer_id legal_name status,status alias to party lifecycle,master_data,POSTGRES_PRIMARY
suppliers,supplier_id,party_supplier_profile,supplier to party plus supplier role profile,supplier_id legal_name status,status alias plus ASL gates,master_data,POSTGRES_PRIMARY
parts,part_number,item,item identity backbone,part_number description lifecycle_status,legacy enabled to active,engineering_authority,POSTGRES_PRIMARY
revisions,revision_id,item_revision,item revision with release metadata,revision_id item_id release_status,equivalent revision release map,engineering_authority,POSTGRES_PRIMARY
routing_library,routing_id,work_definition_routing,routing header and operations,routing_id item_revision_id status,draft review released,engineering_authority,POSTGRES_PRIMARY
bom_library,bom_id,bill_of_materials,bom header and members,bom_id parent_revision_id status,draft review released,engineering_authority,POSTGRES_PRIMARY
control_plans,control_plan_id,control_plan_revision,control plan header and characteristics,control_plan_id revision_id status,draft review released,quality_authority,POSTGRES_PRIMARY
inspection_plans,inspection_plan_id,inspection_plan_revision,inspection plan header and characteristics,inspection_plan_id revision_id status,draft review released,quality_authority,POSTGRES_PRIMARY
traveler_templates,traveler_template_id,execution_instruction_bundle,traveler to released work instruction member,traveler_template_id revision status,draft released superseded,manufacturing_engineering,SHADOW_WRITE
quality_gate_profiles,quality_gate_profile_id,quality_gate_policy,quality trigger and hold rules,profile_id status scope,draft active archived,quality_authority,SHADOW_WRITE
customer_item_approvals,approval_id,customer_approval,customer specific approval object,approval_id customer_id item_revision_id,pending approved blocked,commercial_operations,SHADOW_WRITE
supplier_process_approvals,approval_id,supplier_approval,supplier process approval object,approval_id supplier_id process_code,pending approved blocked,procurement_supplier_quality,SHADOW_WRITE
warehouse_locations,location_id,warehouse_location,warehouse and bin authority,location_id warehouse_id status,active blocked archived,inventory_logistics,POSTGRES_PRIMARY
defect_catalog,defect_code,defect_catalog,normalized defect and reason codes,defect_code severity,status active archived,quality_authority,POSTGRES_PRIMARY
nc_program_releases,program_id,nc_release_package,program release header and checksum,program_id checksum release_status,draft approved released,tooling_cnc,SHADOW_WRITE
work_centers,work_center_id,work_center,work center authority,work_center_id status capability,active inactive,maintenance_engineering,POSTGRES_PRIMARY
machines,machine_id,equipment_asset,machine asset authority,machine_id status controller_family,qualified active restricted,maintenance_engineering,POSTGRES_PRIMARY
operators,operator_id,operator_qualification,operator qualification profile,operator_id person_id qualification_status,current expired suspended,identity_user,SHADOW_WRITE
tooling_assets,tool_id,tooling_asset,tool asset backbone,tool_id status life_counter,qualified active hold retired,tooling_control,POSTGRES_PRIMARY
mes_connectivity_adapters,adapter_id,ot_adapter,adapter identity and trust boundary,adapter_id site_id status,active quarantined revoked,mes_execution,SHADOW_WRITE
mes_alarm_catalog,alarm_code,alarm_catalog,alarm semantics and playbook links,alarm_code severity status,active archived,mes_execution,SHADOW_WRITE
mes_alarm_playbooks,playbook_id,alarm_playbook,approved response package,playbook_id status owner,active archived,mes_execution,SHADOW_WRITE
tool_assemblies,assembly_id,tool_assembly,assembly composition and compatibility,assembly_id status parent_tool_id,draft active retired,tooling_control,POSTGRES_PRIMARY
