term,canonical,occurrences,files,in_glossary,sample_files
"abnormal consumption","abnormal consumption",3,1,false,"02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\05-JD-Supply-Chain\jd-tool-crib-tool-storekeeper.html"
"abnormal log","abnormal log",3,3,false,"02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\02-JD-Production\jd-cleaning-and-packaging-supervisor.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\02-JD-Production\jd-deburr-team-lead.html | 03-Tai-Lieu-Van-Hanh\03-Reference\05-ANNEX-500\annex-502-gate-mrr-and-execution-synchronization-pack.html"
"abnormal notification","abnormal notification",2,2,false,"02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\02-JD-Production\jd-cleaning-packaging-technician.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\02-JD-Production\jd-cnc-operator.html"
"abnormal trend","abnormal trend",2,1,false,"03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-103-risk-opportunity-fmea-and-control-plan.html"
"abnormality log","abnormality log",2,2,false,"02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\02-JD-Production\jd-cnc-operator.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\02-JD-Production\jd-cnc-workshop-manager.html"
"acceptance criteria","acceptance criteria",11,9,true,"02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\10-JD-IT\jd-epicor-system-administrator.html | 03-Tai-Lieu-Van-Hanh\01-SOPs\06-SOP-600\sop-601-calibration-and-gage-control.html | 03-Tai-Lieu-Van-Hanh\01-SOPs\07-SOP-700\sop-702-contamination-control-and-cleanliness.html"
"acceptance test","acceptance test",10,2,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-10.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-24.html"
"acceptance tests","acceptance tests",27,2,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-10.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-24.html"
"access control","access control",9,7,true,"02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-epicor-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\10-JD-IT\jd-it-admin.html | 10-Training-Academy\01-Competency-System\02-Levels\13-C13-Risk-Revision-Control\C13-L3.html"
"access lifecycle","access lifecycle",2,2,false,"02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-hr-handbook.html | 03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-104-data-governance-records-security-and-ip-protection.html"
"Access Matrix","access matrix",13,5,false,"02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-it-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\10-JD-IT\jd-epicor-system-administrator.html | 10-Training-Academy\01-Competency-System\02-Levels\08-C08-Data-Driven-ERP\C08-L4.html"
"access workflow","access workflow",2,2,false,"03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-102-access-request-field-dictionary.html | 03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-117-escalation-matrix-and-sla.html"
"action closure","action closure",20,12,true,"02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\03-JD-Engineering\jd-engineering-lead-manager.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\05-JD-Supply-Chain\jd-supply-chain-manager.html | 10-Training-Academy\01-Competency-System\02-Levels\04-C04-Cross-Dept-Communication\C04-L3.html"
"action closure action","action closure action",4,4,false,"10-Training-Academy\01-Competency-System\02-Levels\19-C19-Leadership-Coaching\C19-L1.html | 10-Training-Academy\01-Competency-System\02-Levels\19-C19-Leadership-Coaching\C19-L2.html | 10-Training-Academy\01-Competency-System\02-Levels\19-C19-Leadership-Coaching\C19-L3.html"
"action Ghi","action ghi",3,2,false,"03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-124-dashboard-evidence-pack-worked-examples.html | 10-Training-Academy\02-Training-Content\01-Modules\C04.html"
"action implementation","action implementation",2,1,false,"02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\04-JD-Quality\jd-quality-engineer.html"
"action item","action item",5,2,true,"10-Training-Academy\01-Competency-System\01-Framework\competency-metrics.html | 10-Training-Academy\02-Training-Content\01-Modules\C04.html"
"action KPI","action KPI",2,2,false,"03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-102-quality-policy-objectives-and-organizational-context.html | 10-Training-Academy\02-Training-Content\01-Modules\C08.html"
