root_code,canonical_name,owner_domain,table_count,representative_tables,forbidden_generic_actions,boundary_source,override_policy,status
MDA-FOUNDATION-MEASUREMENT,UomMeasurementAuthority,master_data,3,"uom;uom_conversion_authority;mdm_uom_conversions","create;update;delete;transition;release;approve",governed_entity_registry,"env+internal_header+release_manifest+command_id",blocked
MDA-PARTY-IDENTITY,PartyCustomerSupplierUserIdentityAuthority,master_data_governance,15,"party;customers;suppliers;users;hcm_employees","create;update;delete;transition;approve",governed_entity_registry,"env+internal_header+release_manifest+command_id",blocked
MDA-ITEM-REVISION-SPEC,ItemRevisionSpecificationAuthority,master_data,11,"item;items;item_revision;item_revisions;item_site;item_spec","create;update;delete;transition;release;approve",governed_entity_registry,"env+internal_header+release_manifest+command_id",blocked
MDA-ENGINEERING-RELEASE,EngineeringReleasePackageAuthority,mfg_engineering,25,"bom;bill_of_materials;routings;work_definition;control_plans;inspection_plans;cnc_programs;engineering_release_package","create;update;delete;transition;release;approve",governed_entity_registry,"env+internal_header+release_manifest+command_id",blocked
MDA-EQUIPMENT-RESOURCE,EquipmentWorkCenterMaintenanceCalibrationAuthority,plant_maintenance,13,"work_centers;equipment;pm_equipment_master;pm_work_orders;calibration_records","create;update;delete;transition;release;approve",governed_entity_registry,"env+internal_header+release_manifest+command_id",blocked
MDA-TOOLING,ToolingFixtureGageLifeAuthority,tooling_lifecycle,14,"tools;fixture_master;tooling_assemblies;tooling_life_measurements;mes_tool_life_events","create;update;delete;transition;release;approve;post",governed_entity_registry,"env+internal_header+release_manifest+command_id",blocked
MDA-QUALITY-CASE,QualityHoldNcrMrbCapaComplaintScarAuthority,quality_management,27,"quality_order;quality_holds;inspection_lot;ncr_records;capa_records;scar_records;customer_complaints","create;update;delete;transition;approve;hold;release",governed_entity_registry,"env+internal_header+release_manifest+command_id",blocked
MDA-INVENTORY-TRACE-COST,InventoryLotSerialGenealogyWipCostLedgerAuthority,inventory,30,"stock_balances;inventory_balance_snapshot;inventory_ledger;inventory_ledger_command_packet;inventory_ledger_posting_packet;inventory_reconciliation_run;inventory_period_close_gate;inventory_recall_evidence_export;wip_ledger;cost_ledger","create;update;delete;transition;hold;post;reconcile",governed_entity_registry,"env+internal_header+release_manifest+command_id",blocked
MDA-COMMERCIAL-EXECUTION,SalesPurchaseJobWorkOrderAuthority,production,23,"sales_orders;job_orders;work_orders;purchase_orders;shipment_releases","create;update;delete;transition;release;approve;hold",governed_entity_registry,"env+internal_header+release_manifest+command_id",blocked
MDA-MES-RUNTIME,MesRuntimeEventAndReadinessAuthority,mes_execution,18,"dispatch_queue;mes_job_execution;mes_operation_execution;mes_operational_event_ledger;track_in;track_out","create;update;delete;transition;post",governed_entity_registry,"env+internal_header+release_manifest+command_id",blocked
MDA-WORKFLOW-AUDIT-EVIDENCE,WorkflowApprovalAuditEvidenceEsignAuthority,record_system,25,"workflow_instances;state_transition_events;approval;electronic_signatures;audit_events;evidence_records;outbox_events;runtime_cutover_rehearsal_run;runtime_cutover_fallback_incident;runtime_restore_drill_evidence","create;update;delete;transition;approve;sign",governed_entity_registry,"env+internal_header+release_manifest+command_id",blocked
MDA-SECURITY-BOUNDARY,RuntimeSecurityBoundaryAuthority,security_iam,6,"mda_security_boundary_policy;mda_field_redaction_policy;mda_sod_exception_authority;mda_ai_action_firewall_event;mda_ot_signal_trust_policy;mda_security_boundary_decision","create;update;delete;transition;approve;sign",governed_entity_registry,"env+internal_header+release_manifest+command_id",blocked
MDA-FRONTEND-PROJECTION-SAFETY,FrontendRecordShellWorkspaceProjectionAuthority,frontend_operator_experience,6,"mda_authoritative_record_shell_anchor;mda_workspace_projection_policy;mda_workspace_projection_freshness;mda_frontend_alias_resolution_policy;mda_offline_candidate_queue;mda_frontend_action_guard_decision","create;update;delete;transition;approve;release;post",governed_entity_registry,"env+internal_header+release_manifest+command_id",blocked
MDA-FINANCE-PERIOD,FinanceCostPeriodAuthority,finance,10,"ap_invoices;gl_transactions;period_closes;backdate_exceptions;fin_standard_cost_rollups","create;update;delete;transition;approve;post;reconcile",governed_entity_registry,"env+internal_header+release_manifest+command_id",blocked
