type,term,canonical,occurrences,files,in_glossary,sample_files
"acronym","A1","A1",2,2,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-16.html | 10-Training-Academy\03-System-Operations\02-Training-Ops\TRN-OPS-05.html"
"acronym","A2","A2",3,2,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-16.html | 10-Training-Academy\03-System-Operations\02-Training-Ops\TRN-OPS-05.html"
"acronym","A3","A3",66,36,true,"02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-engineering-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\02-JD-Production\jd-maintenance-technician.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\02-JD-Production\jd-production-engineer-industrial-engineer.html"
"acronym","A4","A4",31,31,false,"10-Training-Academy\01-Competency-System\02-Levels\06-C06-Problem-Solving-RCA\C06-L1.html | 10-Training-Academy\01-Competency-System\02-Levels\06-C06-Problem-Solving-RCA\C06-L2.html | 10-Training-Academy\01-Competency-System\02-Levels\06-C06-Problem-Solving-RCA\C06-L3.html"
"acronym","A5","A5",2,2,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-16.html | 10-Training-Academy\03-System-Operations\02-Training-Ops\TRN-OPS-05.html"
"acronym","A6","A6",2,2,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-16.html | 10-Training-Academy\03-System-Operations\02-Training-Ops\TRN-OPS-05.html"
"acronym","AAR","AAR",12,2,false,"10-Training-Academy\01-Competency-System\02-Levels\04-C04-Cross-Dept-Communication\C04-L3.html | 10-Training-Academy\01-Competency-System\02-Levels\04-C04-Cross-Dept-Communication\C04-L4.html"
"acronym","ABC","ABC",21,5,false,"03-Tai-Lieu-Van-Hanh\02-Work-Instructions\02-WI-200\wi-203-job-dossier-evidence-pack-and-record-completeness.html | 10-Training-Academy\01-Competency-System\02-Levels\12-C12-Estimating-Costing\C12-L1.html | 10-Training-Academy\01-Competency-System\02-Levels\12-C12-Estimating-Costing\C12-L2.html"
"acronym","ACK","ACK",16,2,false,"03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-107-communication-management.html | 03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-202-customer-complaint-feedback-rma-and-escape.html"
"acronym","ALCOA","ALCOA",52,31,false,"10-Training-Academy\01-Competency-System\02-Levels\02-C02-Process-Discipline\C02-L1.html | 10-Training-Academy\01-Competency-System\02-Levels\02-C02-Process-Discipline\C02-L2.html | 10-Training-Academy\01-Competency-System\02-Levels\06-C06-Problem-Solving-RCA\C06-L1.html"
"acronym","ALL","ALL",4,1,false,"10-Training-Academy\01-Competency-System\01-Framework\competency-framework.html"
"acronym","ALM","ALM",3,1,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-10.html"
"acronym","AMBER","AMBER",5,3,false,"10-Training-Academy\01-Competency-System\02-Levels\09-C09-Time-Management\C09-L1.html | 10-Training-Academy\01-Competency-System\02-Levels\09-C09-Time-Management\C09-L2.html | 10-Training-Academy\01-Competency-System\02-Levels\09-C09-Time-Management\C09-L3.html"
"acronym","AML","AML",26,4,true,"03-Tai-Lieu-Van-Hanh\01-SOPs\04-SOP-400\sop-401-supplier-control-and-special-process.html | 03-Tai-Lieu-Van-Hanh\01-SOPs\04-SOP-400\sop-402-material-verification-traceability-and-counterfeit-prevention.html | 03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-300\annex-302-approved-materials-list.html"
"acronym","ANNEX","ANNEX",152,104,false,"02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html | 02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-ehs-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-engineering-handbook.html"
"acronym","AP","AP",55,10,true,"02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-finance-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\02-JD-Production\jd-production-planner.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\05-JD-Supply-Chain\jd-logistics-shipping-coordinator.html"
"acronym","APAR","APAR",2,1,false,"03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-120-authority-matrix.html"
"acronym","APL","APL",17,2,false,"03-Tai-Lieu-Van-Hanh\03-Reference\04-ANNEX-400\annex-403-approved-processor-list.html | 03-Tai-Lieu-Van-Hanh\03-Reference\06-ANNEX-600\annex-608-semi-standards-and-csr-matrix.html"
