root,physical_table,repository,command_handler,api_openapi,status_workflow,security,requirement_resolver,audit,evidence,outbox,telemetry,unit_test,integration_test,command_stack_scenario,restore_rollback,runtime_claim_allowed,open_blockers
Foundation/UOM,"yes: migrations 214-231 uom_* tables plus 269/274 domain_command_uom_measurement registry","yes: UomRuntimeAuthorityService UnitCatalogService ConversionRuleService ItemUomPolicyService","yes: UomCommandQuantityNormalizer is used by MES/inventory command handlers before mutation","yes: /api/v1/uom paths and domain command Problem Details are in mom/api/openapi.yaml","partial: UomWorkflowService exists; runtime command lifecycle uses DomainCommandGateway","partial: controller requireAuth plus DomainCommandGateway permission checks","yes: server-side UomRuntimeAuthorityService resolves context before governed command writes","yes: audit_events writes uom.command_quantity_normalized","yes: domain_command_uom_measurement carries MEASVAL hash lineage","yes: UomCommandQuantityNormalizer writes UomCommandQuantityNormalized outbox","yes: RuntimeAuthorityService exposes uom_runtime_authority slice","yes: Unit/Uom and DomainCommandUomRuntimeAuthority tests exist","blocked: vendor absent so not rerun","partial: command-stack probe exists; full P58 scenario pending","partial: rollback via commit revert and migration 274 registry removal","pre_production_candidate","closed:P0-UOM-AUTHORITY-AMBIGUITY"
Party/UserIdentity,"yes: user identity and HCM migrations exist","partial: UserRepository IdentityRepository RbacService","no: no unified party-user-operator MDA command handler","partial: Rbac/User controllers exist; OpenAPI not proven complete","partial: RBAC workflows and user SSOT guards exist","partial: AuthMiddleware RbacService user SSOT checks","partial: WorkforceQualificationGateService evaluates requirements","partial: audit middleware and authz decision log","partial: training/evidence links exist","no: no unified party command outbox proof","partial: SliceObservability exists","yes: UserRepository IdentityRepository WorkforceQualification tests exist","blocked: vendor absent so not rerun","no","no","no","P0-MISSING-DOMAIN-COMMAND-HANDLER"
Item/ItemRevision,"yes: canonical master data and item contracts exist","partial: MasterDataService uses repository boundary","no: no CreateItem/CreateItemRevision/ReleaseItemRevision handler","planned: command docs list required endpoints; route not found","partial: lifecycle in MasterDataService","partial: Generic CRUD blocks governed mutation","no: release requirements not resolved by server-side resolver","partial: MasterDataService change history","partial: pending approval/archive stores","no: no command outbox proof","partial: RuntimeAuthorityService reports slice state","yes: MasterDataRepositoryBoundaryTest exists","blocked: vendor absent so not rerun","no","no","no","P0-MASTERDATA-COMPATIBILITY-ONLY"
EngineeringReleasePackage,"partial: trusted release and change authority tables exist","partial: TrustedReleaseRecordService","no: no CreateEngineeringReleasePackage/ReleaseEngineeringReleasePackage handler","planned: DOMAIN_COMMAND_SPEC and API_FRONTEND_CONTRACT_POLICY only","partial: OrderWorkflowService engineering readiness gate","partial: role checks in order workflow","partial: gate checks package fields but not authoritative resolver","partial: order audit/history","partial: trusted release record provenance","no: no release package outbox proof","partial: RuntimeAuthorityService slice","yes: OrderServiceEngineeringGateTest and TrustedReleaseRecordServiceTest exist","blocked: vendor absent so not rerun","no","no","no","P0-ENGINEERING-PACKAGE-NOT-LIVE-GATED"
ResourceReadiness/MES,"partial: MES event and workforce tables exist","partial: ManufacturingEventBackboneService WorkforceQualificationGateService","no: ResourceReadinessService file not found","partial: MES and manufacturing event controllers exist","partial: work order status constraints exist","partial: controller/service role guards exist","partial: workforce qualification only; machine tool material program composite missing","partial: manufacturing event audit patterns","partial: MesEvidenceBridge exists","partial: event backbone has outbox-adjacent patterns but no WO start command outbox","partial: SliceObservability exists","yes: ManufacturingEventBackboneService and WorkforceQualificationGateService tests exist","blocked: vendor absent so not rerun","no","no","no","P0-RESOURCE-READINESS-NOT-WIRED"
QualityHold/eQMS,"partial: NCR CAPA EQMS tables and JSON hold files exist","partial: EQMS services and LogisticsController hold helper","no: ApplyQualityHold/ReleaseQualityHold handler not found","planned: docs list /api/v1/commands/ApplyQualityHold but OpenAPI route not found","partial: EQMS state machines exist","partial: EQMS controllers use role gates","no: canonical hold resolver not proven in movement/shipment/job commands","partial: EQMS audit endpoints","partial: Evidence services exist","no: quality hold command outbox not proven","partial: SliceObservability exists","yes: LogisticsControllerQualityGateTest exists","blocked: vendor absent so not rerun","no","no","no","P0-QUALITY-HOLD-FRAGMENTATION"
Inventory/Ledger/Cost,"yes: inventory_ledger wip_ledger cost_ledger stock_balances exist","partial: TraceabilityGenealogyService and inventory controllers","no: PostInventoryLedgerTransaction handler not found","planned: docs list command endpoints; OpenAPI route not found","partial: status registry only","partial: Generic CRUD blocks listed inventory tables","no: period hold quantity UOM resolver not proven in command","partial: inventory movements may audit through services","partial: evidence links in traceability services","no: ledger posting outbox proof missing","partial: RuntimeAuthorityService traces genealogy only","yes: TraceabilityGenealogyService tests exist","blocked: vendor absent so not rerun","no","no","no","P0-INVENTORY-BALANCE-DIRECT-MUTATION"
Evidence/eSign/Audit,"yes: evidence vault e-sign audit outbox tables exist","partial: Evidence services ControlPlaneCommandService","partial: EQMS control-plane command service exists for limited slice","partial: EqmsControlPlaneController and openapi.yaml cover EQMS control-plane","partial: WorkflowStatusAuthorityService and state machines exist","partial: ControlPlaneCommandGuard validates envelope","partial: guard validates command envelope but MDA requirement resolver missing","yes: AuditChainService and audit tables","yes: EvidencePackageBuilder ElectronicSignatureService","yes: CanonicalOutboxService exists","partial: SliceObservability exists","yes: DomainOutboxService EvidencePackageBuilder SliceObservability tests exist","blocked: vendor absent so not rerun","partial: control-plane tests only","partial: EQMS closure docs only","no","P0-AUDIT-EVIDENCE-ESIGN-NOT-WIRED"
ScenarioRunner/RedTeam,"yes: scenario_registry.bootstrap.json exists","yes: ScenarioRegistryService loads and validates static registry","no: no real command-stack runner found","no: no scenario runner API/OpenAPI found","no: acceptance workflow not live","no: no runtime auth for scenario execution","no: scenarios do not resolve live requirements","no: no scenario run audit proof","no: no scenario evidence record proof","no: no scenario outbox proof","no: no scenario telemetry proof","yes: ScenarioRegistryServiceTest exists","blocked: vendor absent so not rerun","no: static registry only","no","no","P0-SCENARIO-MOCK-ONLY-FINAL-ACCEPTANCE"
GenericCrudBoundary,"yes: table registry and governed domains exist","yes: GenericCrudController and GenericCrudService","not_applicable: boundary denies instead of owns commands","partial: runtime API exists but OpenAPI deny markers not generated","partial: registry workflow metadata","partial: admin still denied for governed mutation","not_applicable","partial: denied response only; deny audit not fully proven","no: no evidence record on denial","no: no deny outbox expected but rationale not formalized","partial: SliceObservability can enrich problems","yes: GenericCrudControllerRuntimeSafetyTest exists","blocked: vendor absent so not rerun","no","not_applicable","no","P0-GENERIC-CRUD-GOVERNED-MUTATION"
