artifact_id,prompt_id,source_tag,source_path_or_url,root_code,domain,object_or_table,command_ref,workflow_ref,api_ref,event_ref,evidence_ref,audit_ref,esign_ref,telemetry_ref,validation_ref,standard_ref,benchmark_ref,controlled_gap_ref,owner,decision_token
P00-MAIN-001,P00,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_AUTHORITY_CONSTITUTION.md,AUTH-CONST,platform,authority_constitution,,,,,,,,,,NO_GUESS_GATES,,NONE,platform_architecture,P00_PASS_READY_FOR_NEXT
P00-SIM-001,P00,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/P00_mda_master_orchestrator_and_sequential_gate_controller_SIMULATION_REPORT.md,SIM-P00,platform,sequential_gate,,,,,simulation_pack,,audit_required,,validation_by_token,,NONE,platform_architecture,P00_PASS_READY_FOR_NEXT
P01-MAP-001,P01,REPO_EVIDENCE,docs/backend/RUNTIME_AUTHORITY_MAP.md,RAM-001,master_data,master_data_slice,,,legacy_runtime_routes,,,runtime_authority_review,,telemetry_gap,drift_audit,,,GAP-P01-001,master_data,P01_REPAIR_REQUIRED
P01-MAP-002,P01,REPO_EVIDENCE,mom/api/services/MasterDataService.php,MD-001,master_data,master_data_service,,,MasterDataController,,history_log,pending_approval,audit_required,,php_review,,,GAP-P01-002,master_data,P01_REPAIR_REQUIRED
P01-MAP-003,P01,REPO_EVIDENCE,mom/api/services/JsonMasterDataRepository.php,MD-002,master_data,master-data.json,,,MasterDataController,,json_store,history_store,audit_required,,php_review,,,GAP-P01-001,master_data,P01_REPAIR_REQUIRED
P01-MAP-004,P01,REPO_EVIDENCE,mom/database/DataLayer.php,MD-003,master_data,loadRuntimeMasterDataFromPg,,,DataLayer,,pg_rebuild,,audit_required,telemetry_partial,drift_audit,,,GAP-P01-003,platform_backend,P01_REPAIR_REQUIRED
P01-MAP-005,P01,REPO_EVIDENCE,mom/database/RuntimeShadowSync.php,MD-004,master_data,syncMasterDataStore,,,RuntimeShadowSync,,shadow_write,,audit_required,,sync_test,,,GAP-P01-003,platform_backend,P01_REPAIR_REQUIRED
P01-MAP-006,P01,REPO_EVIDENCE,mom/api/controllers/GenericCrudController.php,GC-001,cross_domain,governed_generic_crud_block,domain_command_required,,/api/runtime/*,,audit_log,,security_audit,,endpoint_contract,,,GAP-P01-004,platform_backend,P01_REPAIR_REQUIRED
P01-MAP-007,P01,REPO_EVIDENCE,mom/database/migrations/064_master_data_governance.sql,UOM-001,master_data,mdm_uom_conversions,,,,,,,,schema_only,,migration_review,,GAP-P01-005,master_data,P01_REPAIR_REQUIRED
P01-MAP-008,P01,REPO_EVIDENCE,mom/database/migrations/072_canonical_foundation_governance.sql,UOM-002,master_data,uom,,,,,,,,schema_only,,migration_review,,GAP-P01-005,master_data,P01_REPAIR_REQUIRED
P02-BENCH-001,P02,CURRENT_OFFICIAL_REFERENCE,https://www.isa.org/standards-and-publications/isa-standards/isa-95-standard,P02-ISA95,platform,erp_mom_boundary,cross_boundary_command,execution_snapshot_lock,cross_boundary_api,event_lineage,boundary_evidence,P02-AUD-ARC-01,,fallback_read_counter,cross_level_validation,ISA-95,ISA-95,,platform_architecture,P02_PASS_WITH_CONTROLLED_GAPS
P02-BENCH-002,P02,CURRENT_OFFICIAL_REFERENCE,https://learn.microsoft.com/en-us/dynamics365/supply-chain/pim/product-information-management-overview,P02-PIM,master_data,item_uom_master,item_release_command,item_release_workflow,item_master_api,item_release_event,product_definition_pack,P02-AUD-MDG-01,,uom_drift_telemetry,product_contract_validation,Dynamics365 PIM,Microsoft Dynamics,,master_data,P02_PASS_WITH_CONTROLLED_GAPS
P02-BENCH-003,P02,CURRENT_OFFICIAL_REFERENCE,https://learn.microsoft.com/en-us/dynamics365/supply-chain/inventory/quality-management-processes,P02-QUAL,quality_improvement,quality_order_hold,quality_trigger_command,hold_release_workflow,quality_order_api,quality_order_event,blocked_inventory_evidence,P02-AUD-QUAL-01,,hold_block_telemetry,quality_trigger_validation,Dynamics365 Quality,Microsoft Dynamics,,quality_authority,P02_PASS_WITH_CONTROLLED_GAPS
P02-BENCH-004,P02,CURRENT_OFFICIAL_REFERENCE,https://plm.sw.siemens.com/en-US/teamcenter/manufacturing-process-planning/,P02-SIEMENS,engineering_authority,engineering_bundle,engineering_change_command,bundle_release_workflow,engineering_bundle_api,engineering_bundle_event,ebom_mbom_bop_lineage,P02-AUD-TOOL-01,,bundle_drift_telemetry,engineering_bundle_validation,Digital thread,Siemens,,engineering_authority,P02_PASS_WITH_CONTROLLED_GAPS
P02-BENCH-005,P02,REPO_EVIDENCE,docs/backend/POSTGRES_MIGRATION_AND_SYNC_SPEC.md,P02-MIG,platform_backend,cutover_reconciliation,cutover_command,migration_mode_workflow,migration_control_api,reconciliation_event,drift_report,P02-AUD-SRE-02,,fallback_and_drift_metrics,cutover_validation,,Repo PG migration spec,GAP-P02-004,platform_backend,P02_PASS_WITH_CONTROLLED_GAPS
