artifact_id,artifact_type,expected_min_rows,observed_rows,duplicate_ids,boundary_or_sample,status,notes
MDA_SHOPFLOOR_SCENARIO_LIBRARY,master_library,100,100,0,"SF-001..SF-100",pass,"shopfloor library count and IDs reconcile"
MDA_SIMULATION_MASTER_LIBRARY,master_library,200,200,0,"SIMLIB-001..SIMLIB-200",pass,"master simulation library count and IDs reconcile"
P00_SIMULATION_REPORT,prompt_simulation,5,5,0,"P00-SIM-001..P00-SIM-005",pass,"orchestrator simulation baseline"
P01_SIMULATION_REPORT,prompt_simulation,20,22,0,"22 observed",pass,"current-state audit has expanded simulation coverage"
P02_SIMULATION_REPORT,prompt_simulation,20,20,0,"20 observed",pass,"benchmark simulation coverage present"
P03_SIMULATION_REPORT,prompt_simulation,20,20,0,"20 observed",pass,"taxonomy simulation coverage present"
P04_SIMULATION_REPORT,prompt_simulation,20,20,0,"20 observed",pass,"schema blueprint simulation coverage present"
P05_SIMULATION_REPORT,prompt_simulation,20,22,0,"22 observed",pass,"party simulation coverage expanded"
P06_SIMULATION_REPORT,prompt_simulation,20,26,0,"26 observed",pass,"item/material simulation coverage expanded"
P07_SIMULATION_REPORT,prompt_simulation,20,22,0,"22 observed",pass,"engineering simulation coverage expanded"
P08_SIMULATION_REPORT,prompt_simulation,20,20,0,"20 observed",pass,"equipment simulation coverage present"
P09_SIMULATION_REPORT,prompt_simulation,20,20,0,"20 observed",pass,"tooling simulation coverage present"
P10_SIMULATION_REPORT,prompt_simulation,20,20,0,"20 observed",pass,"quality simulation coverage present"
P11_SIMULATION_REPORT,prompt_simulation,20,20,0,"20 observed",pass,"inventory simulation coverage present"
P12_SIMULATION_REPORT,prompt_simulation,20,20,0,"20 observed",pass,"command/API simulation coverage present"
P13_SIMULATION_REPORT,prompt_simulation,20,20,0,"20 observed",pass,"workflow/e-sign simulation coverage present"
P14_SIMULATION_REPORT,prompt_simulation,20,20,0,"20 observed",pass,"MES runtime simulation coverage present"
P15_SIMULATION_REPORT,prompt_simulation,20,20,0,"20 observed",pass,"migration simulation coverage present"
P16_SIMULATION_REPORT,prompt_simulation,20,20,0,"20 observed",pass,"security simulation coverage present"
P17_SIMULATION_REPORT,prompt_simulation,20,20,0,"20 observed",pass,"observability simulation coverage present"
P18_SIMULATION_REPORT,prompt_simulation,20,20,0,"20 observed",pass,"frontend simulation coverage present"
P19_SIMULATION_REPORT,prompt_simulation,20,20,0,"20 observed",pass,"factory scenario simulation coverage present"
P20_SIMULATION_REPORT,prompt_simulation,20,20,0,"20 observed",pass,"final synthesis simulation coverage present"
P21_SIMULATION_REPORT,prompt_simulation,20,20,0,"20 observed",pass,"red-team simulation coverage present"
