condition,source_object,required_status_or_rule,failure_code,blocks_putaway,blocks_operation,blocks_completion,blocks_shipment
iqc_pass_required,incoming_inspections,pass_or_approved_conditional_only,iqc_failed_or_pending,Y,N,N,N
ipqc_pass_required,ipqc inspection object,policy_driven_pass_required,ipqc_failure_open,N,Y,Y,N
oqc_pass_required,oqc inspection object,pass_required_before_delivery,oqc_failed,N,N,N,Y
open_ncr_block,ncr_records,no_open_ncr_without_governed_override,open_ncr_block,N,Y,Y,Y
quality_hold_block,quality_hold target,active_hold_blocks_scope,quality_hold_active,Y,Y,Y,Y
shipment_hold_block,shipment_hold target,no_active_shipment_hold,shipment_hold_active,N,N,N,Y
inventory_hold_block,inventory_hold target,no_active_inventory_hold,inventory_hold_active,Y,N,N,N
use_as_is_requires_approval,mrb_disposition plus customer approval,use_as_is_needs_esign_and_customer_rule,use_as_is_unapproved,N,Y,Y,Y
deviation_validity,deviations,active_effective_approved_deviation_only,deviation_missing_or_expired,N,Y,Y,Y
document_revision_current,dcc_document_header and revisions,released_current_rev_required,current_doc_not_released,N,Y,Y,N
training_current,training_record,current_training_for_role_required,training_not_current,N,Y,Y,N
gage_and_msa_valid,calibration_links plus grr studies,valid_calibration_and_acceptable_msa,measurement_system_invalid,N,Y,Y,Y
scar_and_supplier_status,scar_records plus approved_supplier_list,no_overdue_critical_scar_when_scope_requires,supplier_quality_block,Y,N,N,N
