blocker_id,severity,domain,current_evidence,p42_status,owner_prompt,closure_evidence_required
P0-MASTERDATA-COMPATIBILITY-ONLY,P0,master_data,MasterDataService maps JsonMasterDataRepository primary_backend json to compatibility_only,open,P44,PostgreSQL repository is authoritative and command writes audit/evidence/outbox in one transaction
P0-UOM-AUTHORITY-AMBIGUITY,P0,master_data_quality_mes,UOM API and services plus direct command authority are wired through UomRuntimeAuthorityService/UomCommandQuantityNormalizer with domain_command_uom_measurement evidence,closed,P46/P54/UOM_DIRECT,Keep all future governed measurement commands on the same server-side UOM authority
P0-GENERIC-CRUD-GOVERNED-MUTATION,P0,platform_backend,GenericCrudController hard-stop exists but coverage is not recalculated from current registry,open,P46,Deny matrix proves every governed root mutation is command-only with tests
P0-REQUIREMENT-RESOLVER-CALLER-PROVIDED,P0,planning_production_mes,No P42 evidence proves release requirements are resolved server-side for every live command,open,P47,RuntimeRequirementResolver fails closed and ignores caller-provided requirement flags
P0-MISSING-DOMAIN-COMMAND-HANDLER,P0,platform_backend,V4 command handler skeleton is not proven live on current main,open,P48,DomainCommandGateway handles command envelope idempotency transaction audit evidence outbox and problem details
P0-ENGINEERING-PACKAGE-NOT-LIVE-GATED,P0,planning_production,PR #76 is closed unmerged NO_GO and V3 engineering package is not current branch authority,open,P49,WO SO JO release commands require released engineering package and frozen snapshot
P0-QUALITY-HOLD-FRAGMENTATION,P0,quality_improvement,No single canonical hold graph is proven in P42,open,P53,Canonical hold command blocks affected WO lot shipment and release paths with audit evidence
P0-INVENTORY-BALANCE-DIRECT-MUTATION,P0,inventory_logistics,P42 did not prove inventory balances are ledger-only,open,P54,Stock balance mutation is only projection from append-only ledger and tests block direct writes
P0-RESOURCE-READINESS-NOT-WIRED,P0,mes_execution,Resource readiness is not proven wired into live start/release commands,open,P55,ResourceReadinessService gates WO release/start and emits denial audit evidence
P0-AUDIT-EVIDENCE-ESIGN-NOT-WIRED,P0,quality_improvement_security,E-sign/evidence services exist but regulated command wiring is not proven,open,P56,Regulated commands require identity timestamp meaning record hash SoD and re-auth
P0-SCENARIO-MOCK-ONLY-FINAL-ACCEPTANCE,P0,qa_automation,Scenario registry has 112 scenarios and 26 drills but real command-stack execution is not proven,open,P59,Executable scenario runner invokes real API/command stack and records pass/fail evidence
P0-POSTGRES-ONLY-WITHOUT-RESTORE-DRILL,P0,sre_data,No P42 restore drill evidence for V4 branch,open,P60,Cutover rehearsal and restore drill produce replayable proof
P1-MIGRATION-SEQUENCE-HYGIENE,P1,platform_backend,Migration checker reports 0 P1 and 3 P2 duplicate historical prefixes,open,P43,Next migration number is reserved after all-branch audit and no new duplicate prefix exists
P1-TEST-ENVIRONMENT-INCOMPLETE,P1,platform_backend,composer test is blocked because mom/vendor is absent,open,P43,Dependencies available or alternate CI evidence attached before runtime closure claim
