code,path,status,section_id_count,wi_id_count,has_div_section,detail
WI-101,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/01-WI-100/wi-101-digital-online-forms-and-approvals.html,COMPLIANT,7,7,false,"All WI anchors use <section id=""wi-s#"">. section_ids=7"
WI-102,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/01-WI-100/wi-102-sharepoint-record-sites-libraries-and-permissions-click-by-click.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-103,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/01-WI-100/wi-103-m365-folder-routing-training-competence-and-adoption-for-cnc-job-orders.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-104,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/01-WI-100/wi-104-m365-folder-routing-quick-cards-by-role-for-cnc-job-order.html,NON_COMPLIANT,0,0,false,"Missing stable WI section anchors; no <section id=""wi-s#""> pattern detected."
WI-105,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/01-WI-100/wi-105-qms-document-navigation-role-based-reading-path-and-deployment.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-106,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/01-WI-100/wi-106-job-order-deployment-master-plan.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-107,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/01-WI-100/wi-107-sharefile-git-cpanel-sync.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-201,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/02-WI-200/wi-201-quality-gates-hold-points-and-release-execution.html,COMPLIANT,7,7,false,"All WI anchors use <section id=""wi-s#"">. section_ids=7"
WI-202,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/02-WI-200/wi-202-daily-management-tier-meetings-kpi-and-escalation.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-203,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/02-WI-200/wi-203-job-dossier-evidence-pack-and-record-completeness.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-205,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/02-WI-200/wi-205-barcode-labeling-and-scan-to-action.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-206,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/02-WI-200/wi-206-ship-release-pack-sscc-label-and-pack-reconciliation.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-207,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/02-WI-200/wi-207-high-risk-job-readiness-control-tower.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-302,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/03-WI-300/wi-302-first-piece-fai-execution-and-evidence-pack.html,COMPLIANT,7,7,false,"All WI anchors use <section id=""wi-s#"">. section_ids=7"
WI-501,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/wi-501-dispatch-capacity-and-wip-control.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-511,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/wi-511-machine-type-quick-reference.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-512,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/wi-512-3-axis-vertical-milling-guide.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-513,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/wi-513-5-axis-milling-guide.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-514,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/wi-514-cnc-turning-guide.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-515,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/wi-515-mill-turn-guide.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
