code,family,series,target_archetype,recommended_action,priority,canonical_status,path,reason
ANNEX-101,ANNEX,ANNEX-100,Review Needed,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/10-ANNEX-100-Foundation-Maps-and-Control/annex-101-role-based-access-map.html,Baseline review required by archetype.
ANNEX-102,ANNEX,ANNEX-100,Review Needed,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/10-ANNEX-100-Foundation-Maps-and-Control/annex-102-access-request-field-dictionary.html,Baseline review required by archetype.
ANNEX-103,ANNEX,ANNEX-100,Matrix Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/10-ANNEX-100-Foundation-Maps-and-Control/annex-103-org-raci-matrix.html,Baseline review required by archetype.
ANNEX-104,ANNEX,ANNEX-100,Review Needed,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/10-ANNEX-100-Foundation-Maps-and-Control/annex-104-org-chart-fullpage.html,Baseline review required by archetype.
ANNEX-105,ANNEX,ANNEX-100,Review Needed,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/10-ANNEX-100-Foundation-Maps-and-Control/annex-105-process-map-detailed.html,Baseline review required by archetype.
ANNEX-106,ANNEX,ANNEX-100,Review Needed,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/10-ANNEX-100-Foundation-Maps-and-Control/annex-106-iso9001-matrix-full.html,Baseline review required by archetype.
ANNEX-107,ANNEX,ANNEX-100,Map/Topology Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/10-ANNEX-100-Foundation-Maps-and-Control/annex-107-audit-evidence-pack-master.html,Baseline review required by archetype.
ANNEX-110,ANNEX,ANNEX-100,Review Needed,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/11-ANNEX-110-Digital-Control-and-Resilience/annex-110-dashboard-kpi-dictionary-and-data-model.html,Baseline review required by archetype.
ANNEX-111,ANNEX,ANNEX-100,Review Needed,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/11-ANNEX-110-Digital-Control-and-Resilience/annex-111-document-writing-and-cross-reference-rules.html,Baseline review required by archetype.
ANNEX-112,ANNEX,ANNEX-100,Review Needed,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/11-ANNEX-110-Digital-Control-and-Resilience/annex-112-climate-context-and-resilience-assessment.html,Baseline review required by archetype.
ANNEX-113,ANNEX,ANNEX-100,Review Needed,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/11-ANNEX-110-Digital-Control-and-Resilience/annex-113-dashboard-deployment-access-and-refresh-control.html,Baseline review required by archetype.
ANNEX-114,ANNEX,ANNEX-100,Review Needed,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/11-ANNEX-110-Digital-Control-and-Resilience/annex-114-go-live-runbook-and-cutover-control.html,Baseline review required by archetype.
