conflict_id,severity,area,source_a,source_b,current_evidence,risk,required_resolution,status,next_prompt
P42-CONFLICT-001,P1,branch_state,origin/main,codex/mda-v4-implementation-closure-recovery-20260530,HEAD and merge-base are both 2d25f7375aa2ffe43c496596a0ef4f0b47fe4925 after fast-forward,baseline branch is clean,continue on recovery branch,resolved_for_p42,P43
P42-CONFLICT-002,P1,pr74_state,PR #74,current main,PR #74 is CLOSED with mergedAt null but current main contains UOM services and migrations 214-231,assuming PR merge semantics would be false,record UOM as present by file evidence not by merged PR,resolved_for_p42,P43
P42-CONFLICT-003,P0,pr76_state,PR #76,V4 runtime closure,PR #76 is CLOSED draft with mergedAt null and body states P41_BLOCKED_RUNTIME_AUTHORITY_RISK plus NO_GO,false runtime-ready claim,PR/runtime evidence wins over any report PASS,resolved_for_p42,P43
P42-CONFLICT-004,P1,migration_hygiene,current main,migration checker,check_migration_drift reports duplicate prefixes 108 115 188 as P2 and 0 P1,legacy duplicate prefix confusion,keep as migration hygiene risk and avoid new migration until latest numbering is rechecked,open,P43
P42-CONFLICT-005,P1,migration_sequence,current main,V3 PR #76,PR #76 is not integrated and current main jumps from 231 to 255 to 256 to 261 to 262,unsafe cherry-pick may reorder or collide,run fresh migration path audit before any V3/V4 migration addition,open,P43
P42-CONFLICT-006,P0,master_data_authority,MasterDataService,JsonMasterDataRepository,authorityProbe maps json primary to compatibility_only,master-data runtime authority remains JSON primary,P44 must implement PostgreSQL authoritative repository and cutover controls,open,P44
P42-CONFLICT-007,P0,uom_authority,UOM subsystem,governed measurement write paths,UOM services and API exist but command-chain consumption is not proven across MES EQMS inventory orders,naked-number or alternate conversion authority can survive,P45 must prove or wire mandatory resolver use,open,P45
P42-CONFLICT-008,P0,generic_crud,GenericCrudController,domain command service,Generic CRUD hard-stop exists but full governed entity registry coverage is not recalculated against current registry,bypass by unlisted table/domain,P46 must recalc deny matrix from current registry,open,P46
P42-CONFLICT-009,P0,scenario_acceptance,ScenarioRegistryService,V4 final acceptance,scenario registry count is 112 and drills 26 but no real command-stack runner is proven,static scenario library can masquerade as runtime proof,P59 must run real command-stack scenarios,open,P59
P42-CONFLICT-010,P1,test_environment,composer/phpunit,worktree vendor,composer test failed because mom/vendor is absent,local test proof incomplete,install dependencies or use validated environment before runtime closure claims,open,P43
