source_path,evidence_status,evidence_summary,p34_use,authority_risk,repair_action
_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_EXTERNAL_REDTEAM_REPORT.md,present,"MES operability was scored design-strong but not runtime-complete; runtime service and event spine were required.","Treat ResourceReadinessService absence as a runtime blocker, not documentation debt.",P0,"Implement service gate, physical snapshot/event tables and tests."
_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_CONTROLLED_GAP_LEDGER.csv,present,"GAP-P08-001 and GAP-P14-001 require one readiness service; GAP-P14-002 requires event spine and containment triggers.","Scope P34 to release/start/material/program/IPQC readiness proof.",P0,"Close design-only service gap with safe vertical slice."
_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_FINAL_MASTER_BUILD_PLAN.md,present,"Wave 5 requires quality holds, inventory ledger, genealogy, MES readiness and execution gates.","Keep P34 in command-time readiness lane and defer inventory ledger to P36.",P0,"Add tables and service without claiming full runtime authority."
docs/backend/RUNTIME_AUTHORITY_MAP.md,present,"JO/WO/MES execution is JSON primary/partial; maintenance/calibration notes work can run on invalid machine/tool/gage until readiness is implemented.","Use existing map to cap maturity below runtime-complete.",P0,"Update proof matrix to resource_readiness_gate_partial."
docs/backend/DOMAIN_COMMAND_SPEC.md,present,"ReleaseWorkOrder requires machine active, tool/gage calibrated, operator qualified, NC program released and material available; CompleteOperation requires inspection and quality gates.","Encode the listed checks as service-level gate decisions.",P0,"Implement operator, PM/calibration, material hold, tool/gage, NC checksum and IPQC containment gates."
docs/backend/POSTGRES_MIGRATION_AND_SYNC_SPEC.md,present,"Target governed domains are POSTGRES_PRIMARY/POSTGRES_ONLY; current runtime audit remains JSON_ONLY.","Do not claim production readiness after P34.",P1,"Add additive PostgreSQL schema targets and controlled gap for live PG command writes."
mom/contracts/table-registry.json,present,"Existing registry has canonical MES and manufacturing event tables but is generated/read contract evidence, not mutation authority.","Avoid treating registry as authority.",P0,"Update governed entity registry, not table-registry generated artifact."
mom/database/migrations/025_mes_tables.sql,present,"MES job, operation, material consumption, WIP, tool life, operator qualification and machine event tables already exist.","Reuse names and avoid duplicate operational data model.",P1,"Add only readiness snapshot/event spine tables."
mom/database/migrations/076_canonical_mes_execution_spine.sql,present,"Physical job_event, machine_event, tool_usage, material_consumption, production_completion tables exist.","Hard-deny Generic CRUD mutation for these execution records.",P1,"Add them to governed table denylist."
mom/database/migrations/098_canonical_manufacturing_event_backbone.sql,present,"mes_operational_event_ledger exists with hash/idempotency constraints for broad manufacturing events.","P34 event spine should complement command-time readiness, not replace canonical ledger.",P1,"Create mes_runtime_event_spine as command-time event surface."
mom/database/migrations/237_canonical_quality_case_hold_authority.sql,present,"quality_holds and trigger/trace link authority were added in P33.","Consume canonical hold service for material issue and IPQC containment.",P0,"Use CanonicalQualityCaseAuthorityService."
mom/api/services/WorkforceQualificationGateService.php,present,"Existing operator qualification gate works from config/ledger and emits manufacturing events; not one unified readiness service.","Source pattern and status semantics for operator checks.",P1,"ResourceReadinessService supports operator qualification evidence and blocks expired training."
mom/api/services/ManufacturingEventBackboneService.php,present,"Existing service appends canonical manufacturing events and has a PostgreSQL/file repository fallback.","Source event hash/idempotency pattern.",P1,"P34 returns runtime event payloads; live append remains next-handler work."
mom/api/services/EngineeringReleasePackageAuthorityService.php,present,"P30 service validates NC checksum as part of engineering package authority.","Align P34 NC controller checksum gate with P30 behavior.",P0,"Block mismatched released/controller checksums before start."
mom/api/services/CanonicalQualityCaseAuthorityService.php,present,"P33 service evaluates active quality holds and creates failure containment plans.","Use P33 as quality hold authority, not legacy holds.",P0,"Wire material lot hold and IPQC fail containment."
mom/api/controllers/GenericCrudController.php,present,"P26/P33 deny governed root mutations but P34 new and existing MES event tables were not all hard-denied by name.","Prevent generic runtime mutation bypass.",P0,"Add readiness/event/job/material/tool/production tables to denylist."
mom/contracts/governed-entities.json,present,"MDA-MES-RUNTIME listed ResourceReadinessService but lacked P34 table names.","Registry would omit new authority surfaces.",P1,"Add resource_readiness_snapshot and mes_runtime_event_spine."
_reports/agent-audits/mda-v3-runtime-upgrade-2026-05-29/MDA_V3_RUNTIME_PROOF_MATRIX.csv,present,"P34 owner rows were still at readiness-service-absent maturity.","Matrix must reflect implemented partial service proof while keeping live command gaps open.",P1,"Update WO/EQP/TOOL/QUAL/INV/ENG and add ROOT-MES-001."
