artifact_id,prompt_id,source_tag,source_path_or_url,root_code,domain,object_or_table,command_ref,workflow_ref,api_ref,event_ref,evidence_ref,audit_ref,esign_ref,telemetry_ref,validation_ref,standard_ref,benchmark_ref,controlled_gap_ref,owner,decision_token
P05-AUTH-001,P05,REPO_EVIDENCE,mom/database/migrations/072_canonical_foundation_governance.sql,ROOT-PARTY-001,master_data,party,CreateParty,party_lifecycle,foundation_governance.party.create,party.created,party_identity_pack,P05-AUD-MDG-01,,party_duplicate_rate,foundation_service_review,,, ,master_data,P05_PASS_WITH_CONTROLLED_GAPS
P05-AUTH-002,P05,REPO_EVIDENCE,mom/api/services/FoundationGovernanceService.php,ROOT-PARTY-001,master_data,party_role,AssignPartyRole,party_role_lifecycle,foundation_governance.party.assign_role,party.role_assigned,role_assignment_basis,P05-AUD-ARC-01,,role_scope_coverage,php_service_review,,, ,master_data,P05_PASS_WITH_CONTROLLED_GAPS
P05-AUTH-003,P05,REPO_EVIDENCE,mom/database/migrations/072_canonical_foundation_governance.sql,ROOT-PARTY-001,master_data,party_site,,party_site_lifecycle,foundation_governance.party.create_site,,site_address_evidence,P05-AUD-ERP-01,,default_site_integrity,schema_review,,, ,master_data,P05_PASS_WITH_CONTROLLED_GAPS
P05-AUTH-004,P05,REPO_EVIDENCE,mom/database/migrations/072_canonical_foundation_governance.sql,ROOT-PARTY-001,master_data,party_contact,SupersedeContact,party_contact_lifecycle,foundation_governance.party.create_contact,party.contact_superseded,contact_trace,P05-AUD-SEC-02,,contact_stale_projection,privacy_review,,, ,master_data,P05_PASS_WITH_CONTROLLED_GAPS
P05-AUTH-005,P05,REPO_EVIDENCE,mom/contracts/objects/master_data--customers/contract.json,ROOT-PARTY-001,commercial_operations,customers,CreateCustomerProfile,customers_customer_status,sales.customers.transition,hesem.master_data.customers.active,commercial_profile,P05-AUD-CFO-01,,customer_hold_rate,contract_review,,,GAP-P05-003,commercial_operations,P05_PASS_WITH_CONTROLLED_GAPS
P05-AUTH-006,P05,REPO_EVIDENCE,mom/contracts/objects/master_data--suppliers/contract.json,ROOT-PARTY-001,supplier_quality_and_procurement,suppliers,CreateSupplierProfile,vendors_vendor_status,purchasing.vendors.transition,hesem.master_data.suppliers.qualified,qualification_record,P05-AUD-QUAL-01,,asl_expiry_breach,contract_review,,,GAP-P05-003,supplier_quality_and_procurement,P05_PASS_WITH_CONTROLLED_GAPS
P05-AUTH-007,P05,REPO_EVIDENCE,mom/database/migrations/035_supplier_quality_management.sql,ROOT-PARTY-001,supplier_quality_and_procurement,approved_supplier_list,,wf_approved_supplier_list,procurement_supplier_quality.asl,asl.status_changed,certification_pack,P05-AUD-QUAL-02,,asl_expiry_breach,schema_review,,,GAP-P05-003,supplier_quality_and_procurement,P05_PASS_WITH_CONTROLLED_GAPS
P05-AUTH-008,P05,REPO_EVIDENCE,mom/database/migrations/178_user_identity_ssot_guards.sql,ROOT-IDENT-001,identity_user,v_user_canonical,CreateEmployeeProfile,hcm_employees_employment_status,identity.user.canonical_read,,assignment_and_access_ready,P05-AUD-SEC-01,,identity_drift_count,view_review,,,GAP-P05-001,identity_user,P05_PASS_WITH_CONTROLLED_GAPS
P05-AUTH-009,P05,REPO_EVIDENCE,mom/api/services/AuthUserShadowSyncService.php,ROOT-IDENT-001,identity_user,users,AssignUserRole,user_status,admin_user_upsert,user.role_assigned,mfa_and_role_basis,P05-AUD-SEC-03,required_for_regulated_commands,role_change_attempts,writer_path_review,,,GAP-P05-001,identity_user,P05_PASS_WITH_CONTROLLED_GAPS
P05-AUTH-010,P05,REPO_EVIDENCE,mom/contracts/objects/master_data--employees/contract.json,ROOT-IDENT-001,human_resources,employees,CreateEmployeeProfile,hcm_employees_employment_status,training_hr.employees.transition,hesem.master_data.employees.active,qualification_trace,P05-AUD-HR-01,,employee_activation_lead_time,contract_review,,,GAP-P05-002,human_resources,P05_PASS_WITH_CONTROLLED_GAPS
P05-AUTH-011,P05,REPO_EVIDENCE,mom/api/services/WorkforceQualificationGateService.php,ROOT-IDENT-001,manufacturing_operations,operator_readiness,AssignOperatorQualification,qualification_gate,mobile_work_queue.start_task,qualification_gate.decision,qualification_ledger,P05-AUD-MES-01,,expired_qualification_blocks,service_review,,,GAP-P05-002,manufacturing_operations,P05_PASS_WITH_CONTROLLED_GAPS
P05-AUTH-012,P05,REPO_EVIDENCE,mom/database/migrations/078_canonical_eqms_compliance_backbone.sql,ROOT-IDENT-001,quality_authority,training_record,,training_record_status,eqms.training.record,,released_document_revision,P05-AUD-QUAL-03,,training_revision_drift,schema_review,,,GAP-P05-002,quality_authority,P05_PASS_WITH_CONTROLLED_GAPS
P05-AUTH-013,P05,REPO_EVIDENCE,mom/contracts/table-registry.json,ROOT-IDENT-001,quality_authority,employee_certifications,RevokeAuthorization,employee_certification_workflow,eqms.employee.certification,employee.certification_changed,recertification_basis,P05-AUD-QUAL-04,,expired_cert_rate,registry_review,,,GAP-P05-002,quality_authority,P05_PASS_WITH_CONTROLLED_GAPS
