gap_id,prompt_id,severity,domain,gap_summary,source,owner,required_source_or_decision,acceptance_criterion,blocks_next_prompt,status
GAP-P01-001,P01,P2,master_data,Master-data active store still carries a compatibility bridge until PG command authority is completed,mom/api/services/JsonMasterDataRepository.php; mom/api/controllers/MasterDataController.php,master_data,Decide authoritative cutover path and provide live runtime evidence,Master-data commands run against PostgreSQL authority or a verified migration bridge exists,N,controlled_gap
GAP-P01-002,P01,P2,master_data,MasterDataService authority probe still reports compatibility_only while PG-native command authority is deferred,mom/api/services/MasterDataService.php,master_data,Implement PG-native repository or controlled command path,authorityProbe no longer reports compatibility_only,N,controlled_gap
GAP-P01-003,P01,P2,master_data,PG rebuild and shadow sync core engineering coverage is repaired but remaining governed collections and live reconciliation still need completion,mom/database/DataLayer.php; mom/database/RuntimeShadowSync.php,platform_backend,Expand remaining mapping and reconciliation coverage,Drift tool and rebuild round-trip all required collections,N,controlled_gap
GAP-P01-004,P01,P2,cross_domain,Generic CRUD guard is mitigation only and command-platform replacement is incomplete,mom/api/controllers/GenericCrudController.php; docs/backend/DOMAIN_COMMAND_SPEC.md,platform_backend,Implement dedicated governed commands and denylist publication,All governed mutations execute only through command APIs,N,controlled_gap
GAP-P01-005,P01,P2,master_data,UOM and UOM conversion exist in schema and registry but are intentionally held outside this branch and current runtime authority chain,mom/database/migrations/064_master_data_governance.sql; mom/database/migrations/072_canonical_foundation_governance.sql; mom/contracts/table-registry.json,master_data,Choose canonical UOM authority model and wire runtime services on the owning branch,UOM and conversion records have lifecycle, command, sync, and validation coverage,N,controlled_gap
GAP-P01-006,P01,P2,quality,Quality hold NCR CAPA and OQC remain fragmented across JSON JSONL and PG,docs/backend/RUNTIME_AUTHORITY_MAP.md,quality_authority,Canonical quality command service,Shipment and putaway gates read one governed hold authority,N,open
GAP-P02-001,P02,P2,benchmark,Oracle official docs were not live-refreshed because oracle.com is outside the repository research allowlist,/Users/a10/Downloads/HESEM_MDA_PROMPT_OS_V1_2026-05-28/HESEM_MDA_PROMPT_OS_V1_2026-05-28/research/MDA_RESEARCH_AND_SOURCE_ANCHORS.md,platform_architecture,Refresh Oracle-specific claims only under approved source policy,Oracle references remain pattern-level and non-version-claiming,N,controlled_gap
GAP-P02-002,P02,P2,benchmark,Part 11 official eCFR docs were not live-refreshed because ecfr.gov is outside the repository research allowlist,/Users/a10/Downloads/HESEM_MDA_PROMPT_OS_V1_2026-05-28/HESEM_MDA_PROMPT_OS_V1_2026-05-28/prompts/02_p02_global_benchmark__standards___vendor_pattern_extraction_for_mda.md,quality_authority,Refresh regulatory text only under approved source policy,No compliance claim is made without official evidence package,N,controlled_gap
GAP-P02-003,P02,P2,benchmark,SAP benchmark claims are intentionally pattern-level rather than product-customizing specific,https://help.sap.com/,master_data,Refine only if a later prompt needs SAP-granular mapping,HESEM artifacts remain executable and vendor-agnostic,N,controlled_gap
GAP-P02-004,P02,P2,benchmark,Observability benchmark relies partly on repo evidence rather than a separate official source pack,docs/backend/POSTGRES_MIGRATION_AND_SYNC_SPEC.md,platform_backend,Deepen later only if a prompt needs external observability benchmarking,Cutover telemetry gates remain repo-grounded and testable,N,controlled_gap
