root_code,canonical_name,authority_class,owner_domain,lifecycle_owner,mutation_authority,storage_target,current_repo_mapping,compatibility_aliases,allowed_commands,forbidden_mutations
ROOT-FOUND-001,EnterpriseFoundation,reference_master,master_data,N,foundation_command_service,foundation tables and registries,calendar/shift/uom/reason_code/status_code/work_centers,"uom, warehouse_locations, work_centers",register/update/deactivate,Generic CRUD transition or projection update
ROOT-PARTY-001,Party,reference_master,master_data,N,party_command_service,party/party_role/party_site/party_contact,"customers + suppliers + contacts split across legacy tables","customers,suppliers,contacts",register/link_role/update_profile,independent customer or supplier root mutation without party resolution
ROOT-IDENT-001,UserIdentity,reference_master,identity_user,N,identity_command_service,users + linked employee metadata,"users + employees + operator projection","users,employees,operators",provision/suspend/link_employee/link_operator,write to user identity via employee or operator alias
ROOT-ITEM-001,Item,lifecycle_owner,master_data,Y,item_command_service,items,"parts","parts,inventory_items",create/amend/classify/deactivate,mutation through BOM/routing/control-plan children
ROOT-REV-001,ItemRevision,lifecycle_owner,engineering_authority,Y,item_revision_command_service,item_revisions,"revisions","revisions",create_release/supersede/archive,direct edit of released revision
ROOT-ENG-001,EngineeringReleaseBundle,lifecycle_owner,engineering_authority,Y,engineering_bundle_command_service,bundle tables to be defined in P04,"routings + BOM + control_plans + inspection_plans + nc_program_releases","routing_library,bom_library,control_plans,inspection_plans,nc_program_releases",compose/release/supersede/withdraw,independent released-child mutation outside bundle
ROOT-EQP-001,EquipmentAsset,reference_master,maintenance_ehs,N,equipment_command_service,equipment + linked readiness controls,"equipment + machines + adapters","machines,equipment",register/qualify/hold/retire,update via dashboard or connectivity projection
ROOT-TOOL-001,ToolingAsset,reference_master,master_data,N,tooling_command_service,tools + linked assemblies/gages/fixtures,"tools + tooling_assets + tool assemblies","tooling_assets,tools,tool_assemblies",register/qualify/retire/link_component,direct mutation through inventory projection or route snapshot
ROOT-QUAL-001,QualityPlanBundle,lifecycle_owner,quality_authority,Y,quality_plan_command_service,control_plans + inspection_plans + linked triggers,"control_plans + inspection_plans","control_plans,inspection_plans",release/supersede/block/unblock,standalone result record mutation changing plan truth
ROOT-WO-001,WorkOrderExecutionSnapshot,transaction_document,planning_production,Y,work_order_command_service,job_orders + work_orders + execution snapshot tables,"job_orders/work_orders runtime","job_orders,work_orders",release/start/hold/complete/cancel,dynamic rebind to mutable masters after release
ROOT-INV-001,InventoryLotSerialLedger,transaction_document,inventory_logistics,Y,inventory_command_service,inventory movement/ledger/genealogy tables,"inventory movements + stock balances + genealogy","stock_balances,inventory_balance_snapshots",receive/issue/move/block/release,edit projection balance directly
ROOT-EVD-001,EvidenceRecord,evidence_record,quality_authority,N,evidence_command_service,evidence_records/signature_events/audit artifacts,"evidence_records + attachments + signatures","attachments,evidence,signature package",attach/finalize/publish/retain,use evidence rows as parent workflow owner
ROOT-INT-001,IntegrationEventProjection,event_record,integration_resilience,N,integration_command_service,outbox/raw event/projection tables,"outbox + reconciliation + analytics snapshots","analytics dashboards,AI views,workspace registry",enqueue/reconcile/replay/archive,treat event or projection as business master
