field_group,field,object,type,required,lifecycle,validation,source,owner,notes
identity_classification,item_code,Item,text,Y,immutable_business_key,unique_trimmed_casefold,mom/database/migrations/073_canonical_master_data_core.sql,item_master_control,Enterprise part number
identity_classification,item_name,Item,text,Y,mutable_until_release,non_blank,mom/database/migrations/073_canonical_master_data_core.sql,item_master_control,Marketing/display name
identity_classification,item_type,Item,enum,Y,immutable_after_first_release,known_item_type,mom/database/migrations/073_canonical_master_data_core.sql,item_master_control,make/buy/phantom/tooling/etc by policy
identity_classification,product_family_code,Item,text,N,mutable,known_family_code,mom/database/migrations/073_canonical_master_data_core.sql,item_master_control,Used by planning and analytics
identity_classification,item_class_code,ItemClass,text,N,mutable,known_class_code,mom/database/migrations/073_canonical_master_data_core.sql,item_master_control,Controlled taxonomy
identity_classification,item_category_code,ItemCategory,text,N,mutable,known_category_code,INFERENCE from item-classification needs,item_master_control,Target addition
revision_effectivity,revision_code,ItemRevision,text,Y,immutable_revision_key,unique_per_item,mom/database/migrations/073_canonical_master_data_core.sql,engineering_authority,Do not reuse codes
revision_effectivity,lifecycle_state,ItemRevision,enum,Y,governed_transition,draft|submitted|approved|released|superseded|obsolete,INFERENCE from release policy,engineering_authority,Target normalized workflow
revision_effectivity,approval_state,ItemRevision,enum,Y,governed_transition,draft|pending|approved|rejected,mom/database/migrations/073_canonical_master_data_core.sql,engineering_authority,Separate from lifecycle_state
revision_effectivity,effective_from,ItemRevision,timestamptz,Y,immutable_after_release,no_overlap_per_item,mom/database/migrations/073_canonical_master_data_core.sql,engineering_authority,Execution snapshot anchor
revision_effectivity,effective_to,ItemRevision,timestamptz,N,governed_transition,must_exceed_effective_from,mom/database/migrations/073_canonical_master_data_core.sql,engineering_authority,Used for supersede/obsolescence
revision_effectivity,drawing_reference,ItemRevision,text,N,immutable_after_release,released_document_required_for_release,mom/database/migrations/073_canonical_master_data_core.sql,engineering_authority,Drawing revision is linked evidence, not the same as item rev
technical_spec,material_type,ItemManufacturingProfile,text,N,governed_reference,known_material_type,mom/database/migrations/006_erp_master_data.sql,engineering_authority,Legacy lane field
technical_spec,material_grade,ItemManufacturingProfile,text,N,immutable_after_release,non_blank_when_material_item,mom/database/migrations/006_erp_master_data.sql,engineering_authority,Change requires ECO
technical_spec,material_spec,ItemSpec,text,N,immutable_after_release,released_spec_reference,mom/database/migrations/006_erp_master_data.sql,engineering_authority,Legacy source until spec package expanded
technical_spec,spec_code,ItemSpec,text,Y,immutable_after_release,unique_per_revision,mom/database/migrations/073_canonical_master_data_core.sql,quality_authority,Canonical spec child
technical_spec,lower_limit_num,ItemSpec,number,N,immutable_after_release,must_be_lte_upper,mom/database/migrations/073_canonical_master_data_core.sql,quality_authority,Range rule
technical_spec,upper_limit_num,ItemSpec,number,N,immutable_after_release,must_be_gte_lower,mom/database/migrations/073_canonical_master_data_core.sql,quality_authority,Range rule
uom_conversion,base_uom_code,Item,text,Y,reference_only_in_p06,must_reference_existing_uom,mom/database/migrations/073_canonical_master_data_core.sql,item_master_control,UOM authority intentionally not changed in this branch
uom_conversion,alt_uom,ItemVariant,text,N,reference_only_in_p06,must_reference_existing_uom,mom/database/migrations/006_erp_master_data.sql,item_master_control,Legacy field
uom_conversion,uom_conversion_factor,ItemVariant,number,N,reference_only_in_p06,positive_and_basis_required,mom/database/migrations/006_erp_master_data.sql,item_master_control,Consumed dependency only
traceability,lot_policy_id,LotPolicy,uuid,N,governed_reference,existing_active_policy,mom/database/migrations/073_canonical_master_data_core.sql,inventory_logistics,Canonical traceability policy
traceability,serial_policy_id,SerialPolicy,uuid,N,governed_reference,existing_active_policy,mom/database/migrations/073_canonical_master_data_core.sql,inventory_logistics,Serialization policy
traceability,shelf_life_policy_id,ShelfLifePolicy,uuid,N,governed_reference,existing_active_policy,mom/database/migrations/073_canonical_master_data_core.sql,inventory_logistics,Shelf-life policy
traceability,lot_tracked,ItemQualityProfile,bool,N,compatibility_bridge,boolean,mom/database/migrations/006_erp_master_data.sql,inventory_logistics,Legacy indicator bridged to policy refs
traceability,serial_tracked,ItemQualityProfile,bool,N,compatibility_bridge,boolean,mom/database/migrations/006_erp_master_data.sql,inventory_logistics,Legacy indicator bridged to policy refs
traceability,shelf_life_controlled,ItemQualityProfile,bool,N,compatibility_bridge,boolean,mom/database/migrations/006_erp_master_data.sql,inventory_logistics,Legacy indicator bridged to policy refs
planning_mrp,planner_code,ItemSite,text,N,governed_reference,known_planner_code,mom/database/migrations/073_canonical_master_data_core.sql,planning_production,Site-specific owner
planning_mrp,lead_time_days,ItemPlanningProfile,int,N,mutable_nonhistorical,non_negative,mom/database/migrations/006_erp_master_data.sql,planning_production,Site-specific in target state
planning_mrp,safety_stock_qty,ItemPlanningProfile,number,N,mutable_nonhistorical,non_negative,mom/database/migrations/006_erp_master_data.sql,planning_production,Target move from enterprise item to item_site profile
planning_mrp,reorder_point,ItemPlanningProfile,number,N,mutable_nonhistorical,non_negative,mom/database/migrations/006_erp_master_data.sql,planning_production,MRP field
procurement_asl,procurement_type,ItemSite,enum,Y,governed_transition,make|buy|subcontract|make_or_buy,mom/database/migrations/073_canonical_master_data_core.sql,procurement_supplier_quality,Site-local sourcing mode
procurement_asl,preferred_vendor_id,ItemProcurementProfile,text,N,governed_reference,must_reference_approved_supplier,mom/database/migrations/006_erp_master_data.sql,procurement_supplier_quality,Compatibility field until party-supplier convergence
procurement_asl,supplier_part_number,ItemSupplierCrossRef,text,N,versioned_crossref,non_blank_when_active,INFERENCE from P06 crossref scope,procurement_supplier_quality,Target addition with effectivity
procurement_asl,supplier_revision,ItemSupplierCrossRef,text,N,versioned_crossref,effectivity_window_required,INFERENCE from P06 crossref scope,procurement_supplier_quality,Do not overwrite history
manufacturing_mes,drawing_number,ItemManufacturingProfile,text,N,immutable_after_release,released_doc_reference,mom/database/migrations/006_erp_master_data.sql,engineering_authority,Legacy field bridged to doc control
manufacturing_mes,drawing_revision,ItemManufacturingProfile,text,N,immutable_after_release,must_match_released_document_rev,mom/database/migrations/006_erp_master_data.sql,engineering_authority,External evidence
manufacturing_mes,substitute_item_id,ItemSubstitutionRule,text,N,governed_transition,approved_substitute_required,mom/database/migrations/006_erp_master_data.sql,engineering_authority,Target normalized rule
manufacturing_mes,phantom_flag,ItemManufacturingProfile,bool,N,governed_transition,boolean,mom/database/migrations/006_erp_master_data.sql,engineering_authority,Drives issue behavior
quality_eqms,inspection_required,ItemQualityProfile,bool,N,governed_transition,boolean,mom/database/migrations/006_erp_master_data.sql,quality_authority,Release gate driver
quality_eqms,certificate_required,ItemQualityProfile,bool,N,governed_transition,boolean,mom/database/migrations/006_erp_master_data.sql,quality_authority,Shipment/receipt gate driver
