root_code,canonical_name,score,score_label,runtime_claim_allowed,regulated_claim_allowed,primary_blockers,highest_open_blocker,next_prompt,score_rationale
ROOT-FOUND-001,EnterpriseFoundation,2,schema_partial,no,no,"UOM authority ambiguity",P0,P25,"schemas and registries exist but governed UOM command authority is not proven"
ROOT-PARTY-001,Party,2,schema_and_alias_split,no,no,"party split and approval convergence gaps",P1,P27,"party model exists but legacy customer supplier aliases still own practical runtime paths"
ROOT-IDENT-001,UserIdentity,3,guarded_runtime_partial,no,no,"user party link and reauth gaps",P1,P31,"SSOT guards and services exist but regulated identity chain is incomplete"
ROOT-ITEM-001,Item,2,schema_json_primary,no,no,"JSON primary and compatibility_only master data",P0,P27,"item schema/read paths exist but master data remains compatibility authority"
ROOT-REV-001,ItemRevision,2,schema_partial,no,no,"revision command and e-sign gaps",P1,P27,"revision tables/contracts exist without full release command proof"
ROOT-ENG-001,EngineeringReleaseBundle,1,design_only,no,no,"engineering release package not physical",P0,P30,"canonical root is design locked but physical authority is absent"
ROOT-EQP-001,EquipmentAsset,2,schema_service_partial,no,no,"ResourceReadinessService absent",P0,P34,"equipment tables and services are partial but readiness chain is missing"
ROOT-TOOL-001,ToolingAsset,2,schema_service_partial,no,no,"tool breakage measurement compatibility gaps",P1,P34,"tooling schema exists but runtime containment and compatibility are not proven"
ROOT-QUAL-001,QualityPlanBundle,2,schema_fragmented_runtime,no,no,"canonical hold absence",P0,P33,"quality tables and routes exist but hold and quality case authority is fragmented"
ROOT-WO-001,WorkOrderExecutionSnapshot,3,dedicated_partial_json_runtime,no,no,"ResourceReadinessService absent and MES event spine gaps",P0,P34,"dedicated runtime services exist but start/release command authority is incomplete"
ROOT-INV-001,InventoryLotSerialLedger,2,schema_heavy_command_gap,no,no,"inventory ledger reconciliation absent",P0,P36,"ledger tables exist but command and reconciliation proof is missing"
ROOT-EVD-001,EvidenceRecord,4,service_api_partial,no,no,"workflow e-sign generator absent",P1,P32,"evidence and signature services exist but generated regulated parity is absent"
ROOT-INT-001,IntegrationEventProjection,5,scenario_runner_dashboard_partial,no,no,"live PostgreSQL rehearsal restore drill runtime command driver and browser dashboard not executed",P1,P39,"P38 runs the 200-scenario library through a static contract DSL runner with dashboard/evidence hash but runtime remains JSON_ONLY locally"
ROOT-SEC-001,RuntimeSecurityBoundaryAuthority,4,security_boundary_gate_partial,no,no,"live command middleware persistence and security telemetry absent",P1,P40,"P39 adds physical security boundary anchors and side-effect-free gates for BOLA AI firewall reauth SoD OT trust and redaction; runtime command integration remains pending"
