role_code,title_vi,category,recommended_active_count,target_active_measures,candidate_bank,optional_rotate,do_not_use,fairness_notes
CEO,Tổng Giám đốc,executive,5,"company scorecard health; customer quality escape review; red KPI closure; resource decision lead time; safety/data blocker clearance","GROSS_MARGIN_JOB_FAMILY; BCP_READINESS; CRITICAL_ROLE_CERT_COVERAGE","supplier strategic risk closure; major customer recovery effectiveness","individual operator output; raw ticket closure count","CEO owns system and resource decisions, not every functional miss."
PD,Giám đốc sản xuất,executive,5,"OTD recovery effectiveness; constraint protection; WIP and plan flow; setup/FAI escalation; safety and quality blockers","THROUGHPUT_PER_CONSTRAINT_HOUR; OEE_BOTTLENECK; PLAN_ADHERENCE_WITH_APPROVED_RESEQUENCE","SMED improvement delivery; cross-functional blocker aging","all-machine utilization; OTD without attribution","Separate supplier, engineering, customer-change, machine, and material causes."
CPS,Giám sát vệ sinh và đóng gói,production_manager,4,"packaging/label/CoC RFT; cleanliness compliance; packaging output on time; area safety/FOD","SHIP_PACKET_COMPLETENESS; TRACEABILITY_COMPLETENESS","customer-specific packaging RFT","company OTD; gross margin","Score packing/cleanliness flow only."
CPT,Kỹ thuật viên vệ sinh và đóng gói,frontline,3,"cleanliness compliance; packaging defect prevention; safety/PPE/5S","POS_PACKAGING_OUTPUT_OT","FOD drill participation","OTD; department output without quality","Small process-based set."
OPR,Nhân viên vận hành CNC,frontline,3,"first-piece/process compliance; standard work/self-check; downtime/time-entry accuracy","POS_OP_PART_ACCEPT; POS_AREA_5S_FOD_SCORE","cycle adherence with quality guard","company OTD; gross margin; machine uptime outside control","Operator controls standard work and escalation."
WKM,Quản lý phân xưởng CNC,production_manager,5,"constraint lost hours; setup first-pass; in-process quality; daily plan with quality; safety/5S/FOD","OEE_BOTTLENECK; MTBF; CHANGEOVER_TIME","SMED improvement closure","all-machine OEE as reward; machine utilization all machines","Avoid nonconstraint overproduction."
DBL,Tổ trưởng phá ba via,production_manager,4,"deburr escape prevention; queue/backlog control; self-inspection discipline; area 5S/FOD safety","POS_DEBURR_OUTPUT_ADHERENCE","surface damage recurrence","company OTD; gross margin","Balance output with surface/escape quality."
DBT,Kỹ thuật viên phá ba via,frontline,3,"deburr escape prevention; self-inspection compliance; safety/PPE compliance","POS_DEBURR_OUTPUT_ADHERENCE","surface finish first-pass","company OTD; machine availability","No raw piece count without quality guard."
MNT,Kỹ thuật viên bảo trì,specialist,4,"MTTR with priority; PM compliance; repeat repair reduction; constraint downtime response","MTBF; POS_MAINT_RESPONSE_TIME","spare-part readiness","all downtime; ticket closed count only","Separate maintenance-caused downtime from external causes."
PIE,Kỹ sư sản xuất / kỹ sư công nghiệp,specialist,4,"standard time accuracy; cycle variance reduction; SMED delivery; constraint kaizen impact","OEE_BOTTLENECK; THROUGHPUT_PER_CONSTRAINT_HOUR","layout/motion waste reduction","all-machine OEE as personal score","Measure sustained method improvement."
PPL,Điều độ sản xuất,value_stream_owner,5,"plan adherence with approved resequence; promise risk closure; WIP aging owner action; constraint buffer status; readiness checks","THROUGHPUT_PER_CONSTRAINT_HOUR; TOOL_FIXTURE_READY_TO_PLAN","recovery review effectiveness","plan adherence without approved resequence; company OTD without attribution","Do not punish customer/supplier/engineering misses."
SET,Kỹ thuật viên setup,frontline_specialist,4,"setup first-pass; setup time variance; setup doc quality; tool/fixture escalation","CHANGEOVER_TIME; POS_TOOL_LIFE_ADHERENCE","FAI support effectiveness","setup speed without first-pass; production output after release","Own setup discipline and escalation, not missing resources."
SL,Trưởng ca,frontline_manager,4,"shift plan with quality; abnormality escalation; handover RFT; safety/5S/FOD","SETUP_FIRST_PASS; IN_PROCESS_REJECT_RATE","downtime reason-code accuracy","company OTD; gross margin","Score escalation and shift discipline."
CAM,Lập trình viên CAM / NC,specialist,4,"NC program first-pass; release on time; post-release defect guard; prove-out variance","ENGINEERING_RELEASE_ON_TIME","toolpath reuse quality","program on-time without defect counter","Timeliness must be paired with defect/collision guard."
DFM,Kỹ sư DFM,specialist,3,"DFM review RFT; DFM review on time; requirement clarity","ENGINEERING_RELEASE_RFT; CONTROL_PLAN_PFMEA_APPROVAL","recurring manufacturability issue reduction","quote hit rate; gross margin alone","Capture manufacturability risk before commitment."
ENGM,Trưởng nhóm / quản lý kỹ thuật,manager,5,"engineering release RFT; release on time; ECO aging; engineering NCR prevention; technical blocker closure","CONTROL_PLAN_PFMEA_APPROVAL; ECN_LEAD_TIME","standard work release RFT","shop OEE; supplier readiness","Distinguish engineering causes from production execution."
PE,Kỹ sư quy trình,specialist,4,"routing/control plan RFT; process validation on time; setup/FAI support; process change sustainment","FPY; CONTROL_PLAN_PFMEA_APPROVAL","capability action closure","operator output; company OTD","Own process design and validation."
IAO,Đánh giá viên nội bộ thuê ngoài,audit_hat,3,"audit plan completion; finding quality; closure evidence verification","CAPA_EFFECTIVENESS","repeat finding detection","number of findings only; no findings as positive","Audit quality matters more than finding count."
MCS,Chuyên viên đo lường và hiệu chuẩn,specialist,3,"calibration compliance; MSA readiness; CMM program validation","FAI_FIRST_PASS; IN_PROCESS_REJECT_RATE","measurement-system NCR closure","production output; low NCR count","Measure measurement-system reliability."
QA,Trưởng bộ phận đảm bảo chất lượng,manager,5,"customer escape containment; CAPA effectiveness; final release RFT; repeat NCR reduction; NCR capture completeness","FAI_FIRST_PASS; COPQ; IN_PROCESS_REJECT_RATE","defect pareto action closure","low NCR count as positive; QC throughput without accuracy","Reward capture and containment, not defect hiding."
QC,Nhân viên QC / lập trình viên - vận hành CMM,frontline_specialist,4,"FAI cycle accuracy; inspection RFT; inspection queue aging; gage compliance","FINAL_RELEASE_RFT; IN_PROCESS_REJECT_RATE","measurement record accuracy","low NCR count; production output","Do not penalize finding defects."
QCL,Tổ trưởng QC,frontline_manager,4,"QC queue aging; inspection plan adherence; competency coverage; measurement escape prevention","FAI_FIRST_PASS; FINAL_RELEASE_RFT","CMM program coverage","low NCR count; throughput without accuracy","Own inspection system flow and competence."
QMS,Kỹ sư hệ thống QMS,specialist,4,"registry drift zero; audit finding aging; document change RFT; training record integrity","CAPA_EFFECTIVENESS; REPEAT_NCR_RATE; BCP_READINESS","management review action closure","training completion only; CAPA closure without effectiveness","Own system integrity and evidence."
QE,Kỹ sư chất lượng,specialist,4,"RCA quality; CAPA support effectiveness; defect pareto action closure; repeat prevention","FAI_FIRST_PASS; POS_PPAP_SUBMISSION_OT","customer-specific quality project closure","low NCR count; QC throughput","Measure root-cause quality and recurrence prevention."
BUY,Nhân viên mua hàng,specialist,4,"PO placement on time; critical supplier OTD; supplier quality-cost balance; supplier confirmation RFT","MATERIAL_AVAILABILITY_PLAN; POS_PURCHASE_PRICE_VARIANCE","premium freight control","lowest purchase price only; supplier OTD without attribution","Balance price, OTD, quality, readiness."
XNK,Nhân viên Xuất Nhập Khẩu,support,3,"customs/shipping doc RFT; logistics leadtime; shipment hold doc escalation","OTD; TRACEABILITY_COMPLETENESS","freight exception escalation","company OTD without logistics breakdown","Own shipping docs and escalation."
MPL,Nhân viên Kế hoạch Vật tư và Kiểm soát Tồn kho,specialist,4,"material availability; shortage aging; MRP exception aging; inventory accuracy","POS_EXCESS_INVENTORY; POS_CYCLE_COUNT_COMPLIANCE","cert/material readiness","inventory turns alone; external shortages","Separate supplier/engineering/customer-change causes."
SCM,Quản lý chuỗi cung ứng,manager,5,"material availability; supplier readiness; inventory accuracy; shortage recovery; traceability readiness","SUPPLIER_OTD; IQC_PASS_RATE; SUPPLIER_QUAL","supplier quality escape prevention","supplier price reduction only; inventory turns without availability guard","Score readiness and recovery, not cost cuts alone."
TOOL,Thủ kho dao cụ,frontline_support,3,"tool availability to plan; tool preset readiness; tool crib accuracy","TOOL_RELATED_DOWNTIME; POS_AREA_5S_FOD_SCORE","tool life record accuracy","shop OTD; all setup failures","Own tool readiness and crib accuracy."
WAR,Nhân viên kho,frontline_support,3,"pick/issue RFT; receiving transaction on time; traceability completeness","INVENTORY_ACCURACY; LINE_SHORTAGE_DUE_WAREHOUSE","cycle count compliance","supplier OTD; material shortage not caused by warehouse","Own transaction accuracy and traceability."
CS,Nhân viên dịch vụ khách hàng,customer_support,4,"customer communication closure; order review completeness; complaint log on time; promise-date change control","OTD; RFQ_TURNAROUND_TIME","customer requirement traceability","company OTD without attribution; complaint rate as personal penalty","Own communication and contract review."
EST,Nhân viên báo giá,commercial_specialist,4,"complete RFQ turnaround; quote margin accuracy; quote package RFT; DFM risk capture","QUOTE_HIT_RATE; GROSS_MARGIN_JOB_FAMILY","requote due internal error","quote hit rate without margin guard; gross margin without attribution","Avoid winning bad-margin work."
APAR,Kế toán công nợ và thanh toán,support,3,"invoice RFT; ship-to-invoice leadtime; AR dispute aging","DSO; POS_PAYMENT_ACCURACY; POS_AP_PAYMENT_OT","customer doc mismatch resolution","company DSO alone; payment speed without accuracy","Own billing/payment process quality."
FIN,Quản lý tài chính,manager,4,"job-family margin review; COPQ capture completeness; job cost accuracy; close RFT","DSO; SHIP_READY_TO_INVOICE_LT","cash risk review closure","gross margin as operator/QC/CAM score","Own evidence quality and close discipline."
GLP,Kế toán tổng hợp và tiền lương,support,3,"payroll RFT/on time; GL close RFT; timesheet exception aging","MONTH_END_CLOSE_OT; POS_PAYROLL_OT","statutory submission timeliness","company margin; output quantity","Focus on RFT, timeliness, data integrity."
HR,Quản lý nhân sự,support_manager,4,"critical role cert coverage; OJT verification; training matrix freshness; backup coverage","TRAINING_COMP; SAFETY_ONBOARDING_COMPLIANCE","competency audit fail rate","training completion only; headcount filled without competence","Prove competence, not attendance."
EHS,Chuyên viên EHS,support_specialist,4,"recordable incident blocker; near-miss reporting quality; action closure aging; risk assessment review","SAFETY_ONBOARDING_COMPLIANCE; FOD_LINE_CLEARANCE_COMPLIANCE","PPE/LOTO audit quality","zero accident only; low near-miss count","Encourage reporting quality and action closure."
ESA,Quản trị viên hệ thống Epicor,support_specialist,4,"ERP master data exception aging; transaction sync reliability; ERP release RFT; routing/BOM change RFT","CRITICAL_SYSTEM_AVAILABILITY; SERVICE_TICKET_SLA","ERP issue RCA closure","ticket closed count only; external outage without attribution","Own ERP data/process reliability."
ITA,Quản trị viên CNTT,support_specialist,4,"critical system availability; backup restore drill; access review; patch compliance","SERVICE_TICKET_SLA; KPI_DATA_FRESHNESS","KPI data infrastructure freshness","ticket closed count only; user-caused issue count","Value reliability, access control, backups, and patch discipline."

