standard_ref,applicability,artifact,gate,evidence,test,owner,freshness_date_review
ISA-95/IEC62264,ERP↔MOM/MES boundary,MDA_GLOBAL_BENCHMARK_ATLAS.md,ERP cannot write execution truth directly,cross-boundary command and event lineage,SIM-P02-006 + future command integration tests,platform_architecture,2026-05-29
SAP material/production version pattern,Item/site release packaging,P02_main + P02_matrix,Site release requires approved item+revision+BOM+routing package,release bundle record with effective dates,SIM-P02-002 + P03 taxonomy tests,master_data,2026-05-29
Dynamics365 PIM,Product definition and UOM,MDA_GLOBAL_BENCHMARK_ATLAS.md,UOM and attributes belong to centralized product authority,item/UOM contract with translation and attachment evidence,SIM-P02-002 + future UOM contract tests,master_data,2026-05-29
Dynamics365 Quality,Quality orders and inventory blocking,P02_main + simulation report,Receipt/production/shipment quality triggers must create governed quality order,quality trigger matrix + blocked inventory evidence,SIM-P02-004 + future hold tests,quality_authority,2026-05-29
Oracle manufacturing lens via source pack,Work definition/work order package,P02_main,WO release requires operation/resource/material/output snapshot,WO release evidence pack,SIM-P02-003 + future WO release tests,planning_production,2026-05-29
Siemens Teamcenter manufacturing planning,Engineering bundle lineage,P02_main,Released engineering changes must propagate by bundle and effectivity,EBOM/MBOM/BOP lineage record,SIM-P02-007 + future change-impact tests,engineering_authority,2026-05-29
MTConnect,Machine/tool semantic asset model,P02_main,Connectivity projections cannot replace equipment/tool master truth,adapter-device-tool lineage evidence,SIM-P02-009 + future adapter/asset tests,mes_execution,2026-05-29
OPC UA,Industrial semantic interoperability,P02_main,Machine connectivity contracts must preserve stable asset identity,OPC asset mapping evidence,SIM-P02-006 + future semantic mapping tests,mes_execution,2026-05-29
21CFRPart11 source-pack lens,Regulated e-sign/e-record mode,P02_main,If e-sign enabled then signature meaning+identity+timestamp+record hash are mandatory,signature manifestation pack,SIM-P02-005 + future esign tests,quality_authority,2026-05-29
GAMP5 source-pack lens,Validation discipline,P02_main,Regulated mode requires requirement-to-test traceability,validation trace matrix,SIM-P02-012 + future validation pack tests,validation_owner,2026-05-29
Repo command authority spec,Governed mutation path,P02_main,Generic CRUD cannot own governed transitions,command endpoint and denylist evidence,SIM-P02-001 + future endpoint policy tests,platform_backend,2026-05-29
Repo PG migration spec,Cutover and reconciliation,P02_main,No PG cutover without drift/fallback/replay evidence,reconciliation bundle,SIM-P02-011 + future cutover tests,platform_backend,2026-05-29
